species,binomial,height_a,height_a_min,height_a_max,height_b,height_b_min,height_b_max,height_k,height_k_min,height_k_max,area_a,area_a_min,area_a_max,area_b,area_b_min,area_b_max
ade1tr,Adelia triloba,57.1,48.1,67.9,0.66,0.55,0.77,23.2,17.7,29.1,0.8,0.371,1.783,1.34,1.07,1.6
alchco,Alchornea costaricensis,53,44.4,63.3,0.64,0.57,0.72,18.8,15,23.2,0.553,0.255,1.203,1.33,1.11,1.55
allops,Allophylus psilospermus,57.9,48.9,69,0.74,0.63,0.85,22,16.6,28,0.66,0.302,1.415,1.35,1.1,1.62
alsebl,Alseis blackiana,56.2,48.6,65,0.73,0.71,0.77,21.7,18.8,25,0.228,0.195,0.265,1.49,1.42,1.54
amaico,Amaioua corymbosa,63,53,75.3,0.7,0.62,0.77,20.7,16.9,25.3,0.721,0.378,1.452,1.3,1.04,1.53
anacex,Anacardium excelsum,48.5,42.8,56.3,0.82,0.7,0.95,17.6,11.1,24.3,0.611,0.262,1.387,1.32,1.15,1.5
andiin,Andira inermis,63.5,53.6,75.5,0.74,0.64,0.84,24.6,18.7,31,0.444,0.187,1.051,1.38,1.12,1.64
annoac,Annona acuminata,62.2,52.1,74.5,0.72,0.59,0.84,23.5,18,29.4,0.669,0.364,1.258,1.32,1.08,1.55
apeime,Apeiba membranacea,53.9,46.2,62.9,0.71,0.65,0.78,18.5,15.6,21.6,0.997,0.454,2.338,1.15,0.95,1.34
apeiti,Apeiba tibourbou,42.5,34.5,52.3,0.78,0.65,0.9,18.7,12.9,25.3,0.562,0.239,1.299,1.34,1.09,1.59
ardife,Ardisia standleyana,62.3,52.3,74.2,0.62,0.53,0.72,22.4,17.9,27.3,0.737,0.38,1.415,1.32,1.07,1.55
aspicr,Aspidosperma desmanthum,62.5,54.6,72.4,0.77,0.72,0.82,19.6,17.2,22.5,0.692,0.328,1.515,1.24,1.05,1.42
ast2gr,Astronium graveolens,63.9,55.3,74.9,0.79,0.72,0.85,23.7,19.8,28.1,0.578,0.234,1.282,1.3,1.09,1.53
beilpe,Beilschmiedia tovarensis,52.4,47.2,58.4,0.91,0.88,0.95,26.9,24.2,30.1,0.583,0.5,0.677,1.27,1.21,1.33
brosal,Brosimum alicastrum,63.2,56.4,71.2,0.8,0.77,0.84,29.4,26.5,32.9,0.939,0.795,1.116,1.28,1.22,1.33
brosgu,Brosimum guianense,62,52.5,73.6,0.71,0.64,0.78,19.6,16.2,23.5,0.79,0.458,1.364,1.3,1.1,1.51
calolo,Calophyllum longifolium,61.1,53.3,71,0.74,0.69,0.79,20.7,17.8,24.1,0.495,0.267,0.911,1.37,1.22,1.52
caseac,Casearia aculeata,61.7,52.1,73.4,0.74,0.63,0.85,23.1,17.6,29,0.603,0.302,1.189,1.34,1.09,1.57
casear,Casearia arborea,56.4,47.1,68.3,0.67,0.59,0.76,17.3,13.5,21.9,0.624,0.262,1.473,1.29,1.06,1.53
casesy,Casearia sylvestris,57.7,48.4,68.4,0.69,0.58,0.79,22.6,16.7,28.9,0.594,0.262,1.389,1.34,1.1,1.6
cassel,Cassipourea elliptica,59.9,51.2,70.4,0.74,0.69,0.8,23.5,19.7,27.9,0.536,0.313,0.908,1.39,1.21,1.56
cavapl,Cavanillesia platanifolia,51.7,45.5,60.2,0.77,0.68,0.87,16.9,12.5,22,0.524,0.22,1.245,1.21,1.04,1.39
cecrin,Cecropia insignis,47.1,41.6,54.1,0.96,0.9,1.03,22.9,20.3,25.9,0.254,0.195,0.328,1.65,1.56,1.75
cecrob,Cecropia obtusifolia,40.1,32.3,50.2,0.88,0.71,1.05,12.4,7.1,18.8,0.665,0.304,1.678,1.2,0.93,1.44
ceibpe,Ceiba pentandra,53.6,48.1,60.7,0.79,0.72,0.88,23.8,20.2,28.1,0.288,0.143,0.576,1.51,1.36,1.65
celtsc,Celtis schippii,58.8,50.2,69.6,0.76,0.69,0.83,20.8,17.2,25.1,0.633,0.277,1.434,1.37,1.14,1.63
chr2ar,Chrysophyllum argenteum,57.6,49.7,66.3,0.79,0.75,0.84,27,23.4,31.3,0.758,0.625,0.924,1.24,1.13,1.35
chr2ca,Chrysophyllum cainito,63,53.6,75.8,0.75,0.65,0.85,22.3,15.7,29.3,0.585,0.243,1.405,1.36,1.14,1.58
phoeci,Cinnamomum triplinerve,55.3,47.2,65.4,0.72,0.65,0.81,19.2,15.2,23.6,0.291,0.133,0.659,1.39,1.14,1.64
conoci,Conostegia cinnamomea,56.9,48.3,67,0.71,0.55,0.86,24.7,20.4,29.6,1.38,0.871,2.189,1.15,0.94,1.36
cordal,Cordia alliodora,56.6,48.7,66.4,0.82,0.74,0.91,21,17,25.6,0.53,0.221,1.312,1.29,1.05,1.53
cordbi,Cordia bicolor,49.9,42.5,57.9,0.86,0.82,0.92,23.9,20.5,27.6,0.27,0.216,0.335,1.44,1.35,1.53
cordla,Cordia lasiocalyx,58.3,49.4,69.1,0.64,0.57,0.71,20.1,16.4,24.5,0.34,0.2,0.581,1.36,1.16,1.56
cou2cu,Coussarea curvigemmia,57.1,49.1,66.2,0.74,0.68,0.8,24.2,20.3,28.3,0.577,0.36,0.955,1.31,1.12,1.5
crotbi,Croton billbergianus,50,42,59.8,0.77,0.66,0.87,18.9,14.4,23.8,0.732,0.336,1.627,1.34,1.09,1.59
cupala,Cupania latifolia,55.9,47.3,66.5,0.73,0.63,0.83,21.9,15.9,27.9,0.612,0.267,1.418,1.36,1.13,1.6
cupasy,Cupania seemannii,61.4,51.3,73.1,0.65,0.57,0.73,19.4,15.6,23.8,0.8,0.436,1.43,1.36,1.15,1.59
nectpu,Damburneya umbrosa,55,46.7,64.9,0.74,0.68,0.8,19.5,16.1,23.3,0.665,0.319,1.384,1.34,1.09,1.57
dendar,Dendropanax arboreus,57.1,48.6,68,0.71,0.62,0.79,24.1,18.6,30.2,0.531,0.243,1.112,1.38,1.18,1.59
des2pa,Desmopsis panamensis,60.1,51.4,70.6,0.67,0.63,0.71,22.7,19.2,26.9,0.603,0.362,1.016,1.34,1.13,1.54
dio2ar,Diospyros artanthifolia,58.8,49.5,70,0.67,0.6,0.74,17.8,14.4,21.8,0.47,0.202,1.043,1.35,1.09,1.61
diptpa,Dipteryx oleifera,64.5,57.4,74.4,0.8,0.73,0.87,23,19.5,26.8,0.53,0.222,1.178,1.47,1.3,1.67
drypst,Drypetes standleyi,55.4,47.4,64.3,0.78,0.75,0.82,22.6,19.5,26.2,0.794,0.679,0.933,1.27,1.19,1.34
entesc,Enterolobium schomburgkii,55.5,46.8,66.3,0.77,0.65,0.89,18.9,13.8,24.4,0.88,0.452,1.83,1.23,0.99,1.46
ery2ma,Erythroxylum macrophyllum,60.6,51.2,72.1,0.68,0.57,0.79,23,17.4,29.3,0.544,0.266,1.202,1.35,1.08,1.61
eugeco,Eugenia coloradoensis,62.5,53.4,74.3,0.75,0.69,0.81,22.1,18.4,26.7,0.56,0.273,1.126,1.35,1.12,1.57
eugega,Eugenia galalonensis,61.8,52.7,73.2,0.71,0.64,0.78,22,18,26.6,0.598,0.341,1.03,1.33,1.14,1.54
eugene,Eugenia nesiotica,61.8,51.9,73.6,0.72,0.63,0.81,24.4,18.9,30.5,0.65,0.277,1.386,1.38,1.15,1.63
eugeoe,Eugenia oerstediana,54.8,46.9,63.1,0.77,0.73,0.81,26.9,23,31.1,0.803,0.632,1.02,1.34,1.23,1.45
faraoc,Faramea occidentalis,59.1,50,69.2,0.65,0.61,0.68,20.5,17.2,24.3,0.663,0.489,0.902,1.25,1.12,1.38
ficuc2,Ficus costaricana,59.6,50.6,71.1,0.7,0.61,0.79,23.4,17,30.2,0.564,0.233,1.391,1.18,0.98,1.37
ficuma,Ficus maxima,51.6,43.7,61.8,0.81,0.69,0.93,19.5,14.5,25.3,0.382,0.183,0.767,1.41,1.17,1.65
