fg,parameter,mean,se_mean,sd,q025,q25,q50,q75,q975,n_eff,Rhat
--,global mean intercept,-0.5965105009624333,0.02489519801964681,0.5816094326648789,-1.860404,-0.9070155,-0.5789815,-0.24553250000000001,0.538585750000001,545.797714379264,1.0085918715951219
--,intercept std. dev,1.221027046,0.013220434332749805,0.43613818418908984,0.641649025,0.9064610000000001,1.1366049999999999,1.4383074999999999,2.3039632500000002,1088.3204142985212,0.9997120499363331
--,global mean slope,-0.7399366269666666,0.009502288951690172,0.24004375147289925,-1.2230755,-0.8694629999999999,-0.7447825,-0.6085505,-0.2574201,638.1523100426283,1.002831633617991
--,slope std.dev,0.5125921593333334,0.009427930235933362,0.26201155417243194,0.24059905,0.3492015,0.448805,0.59837125,1.1914005000000014,772.3393566648017,1.0028272691504119
fast,intercept,1.1613524426666666,0.001216521407417943,0.06797357002113777,1.0305232500000001,1.1152950000000001,1.16158,1.207355,1.2943219999999998,3122.0557112712045,1.000019900366248
large pioneer,intercept,-0.8493806426666667,0.0015104092484515992,0.08586339600020416,-1.0184695,-0.908491,-0.8498935000000001,-0.7925952500000001,-0.6814515999999998,3231.668836420592,0.9998977460812599
slow,intercept,-1.7557954466666668,5.07859678934187e-4,0.029430979990392563,-1.813885,-1.7755050000000001,-1.75568,-1.7366375,-1.6979192500000002,3358.3192537261743,1.0021391151685402
small breeder,intercept,-0.6421993476666666,9.373161759562909e-4,0.05569902848723308,-0.75015015,-0.681416,-0.6416850000000001,-0.603526,-0.533866275,3531.2056957772315,0.9997288147339345
medium,intercept,-0.8645665286666667,0.0011826637868082174,0.06694353819910266,-0.994956375,-0.90963175,-0.863915,-0.81972775,-0.73590715,3204.016377908288,0.9995903927772151
fast,slope,-1.2094410033333334,7.849143275640185e-4,0.045126510450160646,-1.299607,-1.2393825,-1.209305,-1.1780775000000001,-1.1233380000000002,3305.3616961621524,1.0004520364829645
large pioneer,slope,-1.0351753223333333,0.0010381427163537683,0.059691651171988144,-1.15275325,-1.0758225,-1.0348600000000001,-0.99502475,-0.9183075500000001,3306.0777454741037,1.0002111085047594
slow,slope,-0.339190439,3.9611751512928095e-4,0.022953374256599695,-0.383907325,-0.35441,-0.3393305,-0.32359175,-0.2943052,3357.723914479252,1.0023423486992142
small breeder,slope,-0.443495153,8.305575537576712e-4,0.04874322649208343,-0.5358271,-0.47788225,-0.4436915,-0.40867325,-0.3476145749999999,3444.205705687309,1.0001765611173088
medium,slope,-0.678919536,8.802580964221128e-4,0.05004836084972832,-0.7772618250000001,-0.71264175,-0.6784235000000001,-0.64507675,-0.5837493250000001,3232.657250528751,0.9994164321009582
