"fg","dbh_bin","q025","q25","q50","q75","q975","mean","sd","ci_min","ci_max"
"all",1.15546278812523,2.88279073211883,6.01625891920452,9.27506583377364,14.4975128122498,35.9722147877437,9.47710540234898,1.90779925280441,9.42480251596754,9.52969854329216
"all",1.51472572135904,6.00059157826909,11.8653995350978,17.9652176059579,26.8642672572813,58.1623919992888,18.1117009694479,1.80665236380138,17.882228487526,18.3441181414007
"all",1.985692689134,6.60117298079385,13.2441255374155,19.7199597907259,29.5277152163041,63.7441433298841,19.9025458256695,1.79879943471871,19.6496623206617,20.1586838429463
"all",2.60309533275933,7.47854407317784,14.8317494188723,22.2267343403945,33.0058649039692,71.0795923558518,22.2971197930858,1.78504722556388,22.0210416931949,22.5766590878785
"all",3.41246424913243,8.43947431721745,16.8371690586071,25.5691004066192,38.541658701154,85.6167957651379,25.6934747790951,1.82253040182094,25.3479756624974,26.0436831332729
"all",4.47348666222804,9.96965128191096,21.5269264452787,33.2147627831083,49.8848135384042,109.911619109009,32.9057796672525,1.8660553455685,32.4237961834598,33.3949278913283
"all",5.86440808053007,14.2886149331107,32.7969670248302,51.4306578440331,77.4593335847582,168.914825071832,50.1465149704663,1.9033689960923,49.2867582058425,51.0212693068767
"all",7.68780254233678,18.5501316675473,39.189242126485,58.7838631897275,87.8728928598396,178.42176755145,57.9339566211163,1.81545729190116,56.9402708137191,58.9449836084852
"all",10.0781369779126,20.4719921556265,43.1687467240838,64.9463506243294,95.5812246000704,198.511476588253,63.9716189000492,1.78849879131503,62.7828077664934,65.1829405259123
"all",13.2116875253013,25.5691004066192,52.7780491644799,79.4438634365791,119.061346215299,223.818410156552,78.1822145824983,1.76251049450084,76.4759231686237,79.9265758916868
"all",17.3195390823467,42.3603119318157,86.0763710992438,129.997150188228,189.459931485158,312.694012836259,124.982529070319,1.71391017923501,122.08025021897,127.953805343575
"all",22.7046267519177,58.8350431701166,114.006017540134,168.852155708091,233.276261634572,341.339134513201,159.36065729342,1.60742978792735,155.583474474841,163.229540789678
"all",29.7640759083095,62.4604658625747,128.409526306771,183.809243854446,246.771064626955,348.843790821271,172.098172101716,1.58833373232415,167.468769881668,176.855546629259
"all",39.0184883616633,88.4076714304356,155.628919958589,222.643359586395,282.91039771801,387.307112817748,208.54104214907,1.48637420794842,202.398064353923,214.87046528554
"all",51.1503343399355,151.810266727927,230.309911750798,302.275231114199,361.873796032569,411.365881558192,284.699143102808,1.33935932458572,276.652690612704,292.979626924876
"all",67.054281519984,172.079627940789,248.67203532712,301.021843839365,370.020813318992,410.578336553838,295.634905936835,1.28672210748819,286.557084589936,305.00030293563
"all",87.9031726416461,211.630263398185,266.386575478111,295.005584920161,331.980509527772,401.775379926918,294.461373959926,1.19233417387174,284.938702037854,304.302294262743
"all",115.234517249494,312.260549737046,412.197295117165,412.197295117165,412.197295117165,412.197295117165,396.769290656971,1.099084405497,385.459412530211,408.411015248195
"all",151.063875929237,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,1,412.197295117165,412.197295117165
"all",198.033498603164,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,412.197295117165,1,412.197295117165,412.197295117165
"fgfg1",1.15546278812523,3.67660267284721,7.97989898311155,11.7400608076144,17.0878465135739,43.0329631026434,11.71759284309,1.82867734901838,11.4425144027832,11.999284178575
"fgfg1",1.51472572135904,4.48503746511532,10.518008214651,16.8162792706932,24.0128112070333,51.0389743206474,16.2655376456842,1.85044752797272,15.2993797296456,17.2927085658588
"fgfg1",1.985692689134,5.43134485761519,11.9280688988395,18.2367848488387,27.8774219711057,57.4260269753237,18.2469490641978,1.84487906899581,17.2089365637431,19.3475726357729
