"fg","year","bin_midpoint","bin_min","bin_max","mean_n_individuals","mean","sd","q025","q25","median","q75","q975","ci_min","ci_max"
"all",1990,1.16673541359231,1,1.33347082718462,36008,0.0365727855169717,1.54125897918532,0.0184908155544058,0.0197016911985401,0.0379132228474557,0.0558620724945982,0.0587879037998742,0.0363241428675572,0.036823130151959
"all",1990,1.55580763706853,1.33347082718462,1.77814444695244,31013,0.0720034554999977,1.76437703556509,0.0186893206441993,0.073010670027482,0.0907404077373903,0.11001932880361,0.13239438237165,0.071484417347443,0.0725262623145042
"all",1990,2.07462409674193,1.77814444695244,2.37110374653142,31810,0.0886338026533216,1.7873674697181,0.0189082846646693,0.0570316095943187,0.0936943825838181,0.145530609593975,0.216445426032598,0.0880371070748236,0.0892345424993476
"all",1990,2.76645071037962,2.37110374653142,3.16179767422781,25514,0.100877541046217,2.0037654488925,0.0187847978098366,0.074915960902916,0.11010731004375,0.168935025455387,0.294776334788629,0.099995786317568,0.101767071016505
"all",1990,3.6889813171354,3.16179767422781,4.21616496004298,20064,0.10859638049876,2.15647097988716,0.0188802046987875,0.0590773283006225,0.117535658295737,0.190470238189854,0.395124769321417,0.107426784110926,0.109778710728735
"all",1990,4.91914896842916,4.21616496004298,5.62213297681534,13535,0.128421204138222,2.22764955453451,0.0188848724306179,0.0756023762692636,0.145849458688519,0.227170714657459,0.510613226876556,0.126677523770854,0.130188885773794
"all",1990,6.55954164397562,5.62213297681534,7.4969503111359,8749,0.139020534496113,2.52049181705574,0.0188100097876937,0.0756445894465295,0.151963879842029,0.276776977316472,0.645788919231162,0.136312225758405,0.141782653052991
"all",1990,8.74695742194416,7.4969503111359,9.99696453275241,7123,0.147862098025577,2.64030339952096,0.018800960661379,0.076750093412981,0.167512248532612,0.293738122787287,0.815417642866776,0.144533755613873,0.151267085945885
"all",1990,11.6638125487886,9.99696453275241,13.3306605648247,5023,0.163583968146028,2.79278468623322,0.0187932751595215,0.079873360068208,0.18767295351014,0.340672242160749,0.959065319001281,0.159001368469661,0.168298643539704
"all",1990,15.5533537675595,13.3306605648247,17.7760469702942,3075,0.211984411008011,2.89335334297784,0.0188707136959688,0.112623490823592,0.236723968332378,0.44804575090056,1.42663609196493,0.204171811421994,0.22009595838641
"all",1990,20.7399435139226,17.7760469702942,23.703840057551,2180,0.254027848742165,2.95959294404632,0.0190059797014943,0.132034463453449,0.287781265700966,0.548877178691712,1.63398400991761,0.242716913433967,0.265865888880992
"all",1990,27.6561096332728,23.703840057551,31.6083792089945,1603,0.278921884830612,2.93833524695629,0.0194493918960716,0.148428905565426,0.312516831604356,0.60211939641386,1.86042772077871,0.264586401490863,0.294034075066203
"all",1990,36.8786153893889,31.6083792089945,42.1488515697832,1119,0.367753640569446,3.00535738226757,0.0269994678529642,0.190397053039502,0.424676608243524,0.841293704469991,2.03431811334063,0.344791404988335,0.392245102967856
"all",1990,49.176557768712,42.1488515697832,56.2042639676407,735,0.511194219881623,2.76788584526868,0.0377443422606091,0.277110187488647,0.60591192437717,1.11477719147613,2.27698400644679,0.474920717172062,0.550238220805403
"all",1990,65.5755051659368,56.2042639676407,74.9467463642328,413,0.70763509850784,2.62679670758768,0.0678233583226331,0.420582884667914,0.856112651710953,1.40627660657687,2.72135494420612,0.644701083377838,0.776712565793425
