"fg","bin_midpoint","bin_count","q025","q25","q50","q75","q975"
"all",1.16673541359231,19278,1.70729320092603,4.26096764499735,6.67602218712671,10.7960118248485,25.7936349141506
"all",1.55580763706853,16081,3.14761107236524,7.47819797280844,11.5561092733841,17.9938780760765,42.1705587744887
"all",2.07462409674193,16976,5.73732869114203,14.6195649941981,23.8226860250524,39.2134339513163,102.730787945355
"all",2.76645071037962,14895,13.5790322507357,32.3069974763699,50.8107077430215,80.7145281123101,187.167787422048
"all",3.6889813171354,12675,25.7806195720775,56.4680358272997,88.0454848437995,137.445215956589,318.492839813464
"all",4.91914896842916,9463,42.7925797210372,103.129130303112,162.541548139442,255.310036920473,604.7480657231
"all",6.55954164397562,6818,87.957969931199,226.742046949008,370.009184294986,596.863643793552,1378.87306381881
"all",8.74695742194416,5427,176.051439682231,431.878953162676,662.360859376968,1036.22224683667,2270.99263647629
"all",11.6638125487886,4188,306.390106104475,709.556472067747,1090.01354746985,1673.63848877397,3757.78571635723
"all",15.5533537675595,2649,579.089279873121,1400.6284740828,2208.6504892861,3419.40960474662,7265.64884776484
"all",20.7399435139226,1988,1763.70114046525,3576.82321535126,5475.67778946555,8105.48078227422,14092.0033573946
"all",27.6561096332728,1412,2643.40618402253,6071.60616858922,9026.17377075051,12952.0249769715,20361.4493252267
"all",36.8786153893889,828,4759.10130650055,10462.2110483428,15539.8461669902,20621.236121071,32560.3989266582
"all",49.176557768712,501,11093.8510082195,21316.9328506772,30883.4064771902,39000.3184867633,61347.2211359435
"all",65.5755051659368,290,23186.5897589308,36372.858873512,48415.7329001339,56646.4960603982,79559.7750288114
"all",87.4430231166713,129,30266.9865177752,51283.6860093648,63536.1622995189,76895.2466668992,113783.992848623
"all",116.602720366912,43,62125.5304794328,106993.43432592,122195.187123434,151823.328883738,268973.080237701
"all",155.486325979643,4,194407.013137925,198818.662104369,208001.601625334,225769.403739708,253360.181708354
"all",207.336479719973,6,180256.142501493,291859.192817993,341459.019326413,461394.221735178,535945.049539003
"fg1",1.16673541359231,935,2.22607195494219,5.39772574918109,8.07594443257201,12.3837346751878,32.4371250701348
"fg1",1.55580763706853,719,3.56965884438218,8.31188499366326,12.4778273931791,18.7720951581338,45.5453851453455
"fg1",2.07462409674193,826,5.72714733861668,14.028117562101,21.6882046068724,33.8603179991294,77.5503267841786
"fg1",2.76645071037962,723,10.4450344838896,24.9646034320247,41.901151050019,64.1657562166478,145.887313943391
"fg1",3.6889813171354,766,19.1857573701965,47.8753869705747,77.330625610189,117.695596391412,265.855052075737
"fg1",4.91914896842916,690,33.4248762870759,78.804044581975,137.612879222066,219.836313254123,560.336891562963
"fg1",6.55954164397562,570,69.6569616473323,159.136744456523,279.501928008876,445.013676028791,1082.16185703712
"fg1",8.74695742194416,644,133.33621273768,307.129622110075,510.262540460874,850.666886727063,2291.20021571818
"fg1",11.6638125487886,601,228.571118381882,548.443102832465,945.685096300143,1517.70834992733,3396.0023526438
"fg1",15.5533537675595,455,444.889840360712,1203.21767098286,2090.32959128756,3222.6807103004,6265.54799082864
"fg1",20.7399435139226,384,1394.36941556425,3224.1050383237,4954.45531275338,7083.33530836968,12951.8471547029
"fg1",27.6561096332728,268,2349.766802359,5569.30227490094,9000.84591660966,12897.9179932432,20841.9278797081
"fg1",36.8786153893889,202,4582.3680304038,12853.0716780328,17014.4084456594,22767.1431763652,34857.1821712816
"fg1",49.176557768712,96,10519.8814641188,24531.6945756323,32664.6508710831,41916.2257661305,68562.0552269124
"fg1",65.5755051659368,44,26192.066512454,36314.5430543677,50588.6177087226,61803.0162630014,81584.5358955244
"fg1",87.4430231166713,6,40185.2045067874,46654.0801282474,66810.4656071893,88357.2509584812,126199.671251413
"fg1",116.602720366912,1,136167.357729689,136167.357729689,136167.357729689,136167.357729689,136167.357729689
"fg2",1.16673541359231,780,1.95427877391836,4.39201816410501,6.63853194757418,10.6905595013459,24.4681482022293
"fg2",1.55580763706853,759,3.5613015901551,7.72719676880481,11.8490961002564,18.4370413141533,43.5589241423939
"fg2",2.07462409674193,939,7.07987843886248,15.9067905651924,25.1280156125565,41.3135460657033,103.870786354575
"fg2",2.76645071037962,955,17.3043153811041,34.622656102177,53.2929261023503,80.160762365816,171.215060609197
"fg2",3.6889813171354,950,29.5509418884182,60.1173739505832,90.5749560919348,138.177889502461,306.340504232651
"fg2",4.91914896842916,810,51.345720268005,111.154971800212,166.168457355818,254.878164235563,581.646529530275
"fg2",6.55954164397562,732,107.733864282456,253.124454606641,386.358748318998,621.814505749448,1467.74063768485
"fg2",8.74695742194416,679,235.754442683327,468.770195051756,714.489666840566,1104.56393246752,2242.09517972566
"fg2",11.6638125487886,704,359.946538438062,762.21881848026,1152.71986439329,1780.39573143401,3776.73674395127
"fg2",15.5533537675595,617,647.949310498454,1406.77859882175,2166.53978170011,3482.18340745221,7106.93832924649
"fg2",20.7399435139226,563,1785.27213224543,3518.96684062498,5514.2751895756,8406.38028916565,13008.3715126464
"fg2",27.6561096332728,448,2867.23626832687,6368.71958153097,9387.28396766005,13442.8387353399,19481.4258600042
"fg2",36.8786153893889,249,5383.98809141465,10849.2008987167,16476.6366460462,20941.7549656831,32461.1106007122
"fg2",49.176557768712,228,9964.78694605129,20277.3400459085,28402.1775419795,37734.8144311125,53973.9151628229
"fg2",65.5755051659368,185,22643.0215916043,36314.8899736001,44870.0842240029,56177.816128727,76244.236529656
"fg2",87.4430231166713,106,29217.5171254207,50226.9309381224,61311.896344969,75190.2262282079,109529.5525699
"fg2",116.602720366912,36,61380.9634361915,104056.073699965,113925.082456155,141280.557153884,210887.219868389
"fg2",155.486325979643,4,194407.013137925,198818.662104369,208001.601625334,225769.403739708,253360.181708354
"fg2",207.336479719973,5,179636.334474817,309841.146694563,373076.891958263,490833.331660817,537233.955764094
"fg3",1.16673541359231,13181,1.72918339014413,4.20974815474387,6.55463996554259,10.5357550885912,24.8651027663941
"fg3",1.55580763706853,11130,3.17434590314384,7.43040289290453,11.3814489363847,17.6673642370927,41.1791852345195
"fg3",2.07462409674193,11705,5.96029958961432,14.5872130241462,23.6819240870785,39.0119719253748,100.506429405782
"fg3",2.76645071037962,10378,14.0257064425363,32.3579983187773,50.9148219687362,81.3496789164839,187.459036094382
