"fg","bin_midpoint","bin_count","q025","q25","q50","q75","q975"
"all",1.16673541359231,19278,1.1596615275562,2.97160184402791,4.68497901826165,7.58233066028118,18.1970885520477
"all",1.55580763706853,16081,2.22938841014879,5.42428351779429,8.40843020635227,13.1569538819566,30.90081560666
"all",2.07462409674193,16976,4.20654607444286,10.9351793329909,17.9640526195576,29.6221669465959,77.8638939936332
"all",2.76645071037962,14895,10.2556479824139,25.0211425050473,39.5058528601961,63.1393610719083,147.092374459553
"all",3.6889813171354,12675,19.927910588927,45.0315659620245,70.564715488431,110.634505664563,257.92784209559
"all",4.91914896842916,9463,34.3291363803073,84.1903285755456,133.152957745546,210.351361910935,503.516052428729
"all",6.55954164397562,6818,71.8954995202227,189.815141978451,310.289054518526,503.977984661764,1163.07613670694
"all",8.74695742194416,5427,146.248794475384,368.304616801006,569.31159335372,892.049399594509,1966.90177142121
"all",11.6638125487886,4188,262.137933971852,614.941463505247,946.979912222304,1465.55076698061,3306.78334083273
"all",15.5533537675595,2649,509.587608170177,1246.91301812587,1968.36747886938,3053.18312657125,6516.03189932228
"all",20.7399435139226,1988,1581.6908911174,3204.25093459203,4919.68948204948,7322.30373174511,12686.4514653026
"all",27.6561096332728,1412,2441.23082283714,5582.71033492472,8228.72043121481,11862.5064163402,18772.3940918532
"all",36.8786153893889,828,4375.66027737931,9701.31274679556,14404.9552742617,19049.3863059549,30304.3807947007
"all",49.176557768712,501,10059.5960580025,20103.7427802169,28827.6792725525,36527.9822233534,58078.2565770425
"all",65.5755051659368,290,22175.7768871076,34620.8715795631,45149.4746695742,53597.1981391783,74993.2124218419
"all",87.4430231166713,129,28945.4171351173,48474.3175127144,60141.090670174,73857.04094389,107862.164770213
"all",116.602720366912,43,59988.210466942,104295.016766752,119400.935486961,144761.477547029,263830.634002928
"all",155.486325979643,4,186388.605482313,188218.228017197,196229.738933596,214548.346971726,244207.131735283
"all",207.336479719973,6,173680.677071376,283218.759037303,328394.454785276,443294.130942747,525571.721626001
"fg1",1.16673541359231,935,1.37597245737488,3.57055107421937,5.39495186455426,8.30698742540658,23.1235510513872
"fg1",1.55580763706853,719,2.32220318068325,5.6550762035263,8.55694201241494,13.1832280468706,32.5709306712926
"fg1",2.07462409674193,826,3.63558750813388,9.82149650705859,15.4677490915085,24.3465386136857,56.2201242608196
"fg1",2.76645071037962,723,7.33715976654977,18.561559992967,31.2086891676844,47.5238938888104,109.32369932784
"fg1",3.6889813171354,766,13.740506208452,36.6306383757749,58.8691186459899,91.0435483886465,207.976847121823
"fg1",4.91914896842916,690,24.6139304694053,62.7048619616905,107.86823744586,176.75554631777,442.543673483411
"fg1",6.55954164397562,570,53.9135990556876,127.590582377807,222.243171939282,360.011839189279,888.438876214317
"fg1",8.74695742194416,644,110.081555696851,255.855883671823,423.044737368428,713.35148105811,1929.39692029128
"fg1",11.6638125487886,601,191.934870363327,458.160502168893,800.904504875068,1279.88714369523,2835.57329015214
"fg1",15.5533537675595,455,390.378453346813,1046.0454549338,1821.35534170785,2818.82965840241,5632.24923846669
"fg1",20.7399435139226,384,1227.1270083491,2863.11896998147,4340.04028573482,6243.65231913433,11323.4471209947
"fg1",27.6561096332728,268,2125.44031011323,4990.29611461628,8075.7910814998,11579.529522566,19165.5253096682
"fg1",36.8786153893889,202,4278.36131701182,11635.2584081268,15571.2138180848,20769.5509605362,32306.3538357594
"fg1",49.176557768712,96,9683.28271396082,22291.8565648419,30040.1824914566,38327.3629426645,65598.4360853128
"fg1",65.5755051659368,44,25196.3450189892,33677.7754628075,47572.1537080399,56220.9823874884,76244.4713245302
"fg1",87.4430231166713,6,37467.211148178,43685.7308113839,62777.4335427399,83535.7928963175,119709.346681367
"fg1",116.602720366912,1,130144.719473519,130144.719473519,130144.719473519,130144.719473519,130144.719473519
"fg2",1.16673541359231,780,1.37949837153227,3.15000019773106,4.76025442607051,7.70488730709134,17.2133718672272
"fg2",1.55580763706853,759,2.67133771782554,5.73764675985953,8.81198526409192,13.4958672104449,34.2717557046597
"fg2",2.07462409674193,939,5.31126374401294,12.0702682265878,19.1340151527588,31.769026357632,79.4822198740144
"fg2",2.76645071037962,955,13.6241264571563,27.0009129394048,41.5586614709621,62.4180756190542,134.941615147677
"fg2",3.6889813171354,950,22.9525955348639,48.028055823976,73.3058332111923,110.34478834969,244.073323142586
"fg2",4.91914896842916,810,42.777781362624,91.1217067375632,136.989018854078,209.818387624334,483.811124663542
"fg2",6.55954164397562,732,89.9909365793053,209.359195264311,323.564326031079,524.196415079759,1217.71681176261
"fg2",8.74695742194416,679,199.996671800655,402.472384881455,616.928517390149,953.575432443751,1946.93320909211
"fg2",11.6638125487886,704,312.240093835854,668.068625861497,1012.55411955422,1561.71170136455,3318.36884830996
"fg2",15.5533537675595,617,566.370296451341,1256.76843884664,1947.99615889222,3103.62502778841,6470.98139105417
"fg2",20.7399435139226,563,1655.64210126784,3192.55900387182,4975.75663880426,7487.50520196394,11764.5217132141
"fg2",27.6561096332728,448,2686.93247195583,5835.08115717087,8628.54912570506,12117.1760708785,17920.0396168641
"fg2",36.8786153893889,249,4916.44976338441,10015.7960721686,15169.3209110947,19685.6240528562,30190.9702992772
"fg2",49.176557768712,228,9477.67078141629,19214.9028284515,26486.7027501306,34988.9140908717,49719.4426233424
"fg2",65.5755051659368,185,21572.1097249317,34563.7792062368,42822.2954451993,52531.9213673564,71426.7461529606
"fg2",87.4430231166713,106,27934.9699334738,48003.6673283553,58727.5195838538,71318.7757391032,104264.901615869
"fg2",116.602720366912,36,59040.5334459003,101378.189710811,109067.254112332,137428.924630301,202439.561860508
"fg2",155.486325979643,4,186388.605482313,188218.228017197,196229.738933596,214548.346971726,244207.131735283
"fg2",207.336479719973,5,172954.053253137,300040.008702819,356748.900867732,472142.540967752,527098.269644808
"fg3",1.16673541359231,13181,1.20148158613421,2.9716668465584,4.66220181112655,7.50015329562038,17.6381088356603
"fg3",1.55580763706853,11130,2.28068215204769,5.44173858872204,8.35997524695404,13.0149119917596,30.1837892115998
"fg3",2.07462409674193,11705,4.41596359120293,11.0081326019467,18.0330323980758,29.715437347326,77.4364252821095
"fg3",2.76645071037962,10378,10.8007547300239,25.2569250508411,39.8843126408537,64.0486977786709,148.605439965746
"fg3",3.6889813171354,8814,20.671040272712,46.0945698650516,72.1957651905872,112.52273854258,261.837371023792
"fg3",4.91914896842916,6290,39.0722570240249,88.273780112449,137.247453691961,216.97354771015,511.615182470732
"fg3",6.55954164397562,4316,85.8514680406709,203.495262506279,323.310292427012,516.249413574445,1156.98704702554
"fg3",8.74695742194416,3160,179.181726685281,401.292912387661,590.899102894341,920.205619696652,1951.9035225919
"fg3",11.6638125487886,2148,302.197420808034,630.079482662269,956.561560149245,1442.76708023663,3294.25559841905
"fg3",15.5533537675595,1148,576.516633594533,1290.40538471302,2016.68643675252,3073.13672619519,6983.25697470676
"fg3",20.7399435139226,787,1760.35141164209,3466.34578634968,5064.71187994005,7421.83434863429,13078.7697462956
"fg3",27.6561096332728,600,2672.77217468039,5705.76060480884,8136.63967954224,11899.1551416758,18760.8987179175
"fg3",36.8786153893889,331,4519.35619279958,8896.27844343052,12810.3980765609,17250.250207541,26863.3880547647
"fg3",49.176557768712,139,12165.2010009959,22332.3391467854,30138.9965929938,37547.5510500922,59766.4613950867
"fg3",65.5755051659368,37,23052.8290173592,33009.2815694714,48315.575113934,57168.2181410031,85126.596979405
"fg3",87.4430231166713,12,43577.5507711609,60087.4086734964,68431.9428458903,73044.9217922999,121846.219402947
"fg3",116.602720366912,2,114087.5698637,120140.718783044,126866.439804538,133592.160826031,139645.309745375
"fg4",1.16673541359231,2769,0.96511230865351,2.93140740692602,4.82200040139732,8.14160601866185,20.5489336287991
"fg4",1.55580763706853,1980,2.00692352764174,5.66421891554298,9.43903596780378,15.1303015309935,36.5592238466536
"fg4",2.07462409674193,1760,3.27980850776453,11.0877209645804,19.6742839565261,32.7674702829786,87.8048213938595
"fg4",2.76645071037962,1164,10.1249417758568,26.9695130690634,43.8899421670409,67.7023994311032,166.544273330327
"fg4",3.6889813171354,610,20.1606451332723,43.5169748056569,66.7637914702433,110.624312456577,248.397998706814
"fg4",4.91914896842916,364,25.926078266285,71.1352731427749,120.003733223792,208.029826068363,461.78528666192
"fg4",6.55954164397562,147,66.6333732454967,143.528746022295,225.998438909313,393.172600136816,1083.71237071957
"fg4",8.74695742194416,114,167.85250304739,371.757590142511,553.944289861192,819.188898995877,2240.27188103929
"fg4",11.6638125487886,82,200.110586455845,539.42043706679,1100.75105024315,1771.5475626458,2984.58201794277
"fg4",15.5533537675595,51,492.609988206311,1059.72493298313,1857.35301971417,2693.9377204095,4374.01204336953
"fg4",20.7399435139226,14,1663.54608896949,2374.93496032675,5393.69700335606,7276.36013306546,13358.6604580317
"fg4",27.6561096332728,1,4839.97335665738,4839.97335665738,4839.97335665738,4839.97335665738,4839.97335665738
"fg5",1.16673541359231,1454,1.02089592565272,2.64539487229948,4.2026355060021,6.7730181179559,17.2544996295273
"fg5",1.55580763706853,1336,2.08800049125204,4.90124444121316,7.70710234307197,11.7634658892608,27.8603716465915
"fg5",2.07462409674193,1561,3.70265283021391,9.79113982112601,16.431163241241,27.2914608776387,67.5198246829896
"fg5",2.76645071037962,1463,8.79263022195553,24.2428412382409,37.1829041845036,60.1541637141556,136.88384844982
"fg5",3.6889813171354,1279,19.254432188581,43.343277103597,70.3182642708624,110.493611093999,268.494588943445
"fg5",4.91914896842916,1108,35.5643508913375,79.7330344592239,130.547892658274,209.220504896226,484.142950870149
"fg5",6.55954164397562,871,79.3857584310695,203.089278871607,340.078842973709,538.992979812808,1294.60709516741
"fg5",8.74695742194416,744,162.55725045786,359.215642718504,567.182929976507,910.066543242116,2019.7063347479
"fg5",11.6638125487886,618,255.72234723037,617.921130117605,1007.29184280321,1612.64787391769,3571.65610515222
"fg5",15.5533537675595,360,448.066153112139,1285.46118117523,2105.8961245166,3223.01482620553,6218.55042081043
"fg5",20.7399435139226,228,1463.75369863001,3440.36150323668,5305.66651716798,7582.0891359927,13724.9840897442
