"fg","year","bin_midpoint","bin_min","bin_max","mean_n_individuals","mean","sd","q025","q25","median","q75","q975","ci_min","ci_max"
"all",1990,1.16673541359231,1,1.33347082718462,36008,0.00887633860513644,1.69403997171621,0.00315567397088625,0.00609095297608906,0.00946294651174217,0.0135004982325384,0.02110177318152,0.00880286210731831,0.00895042840300015
"all",1990,1.55580763706853,1.33347082718462,1.77814444695244,31013,0.0229021973421244,1.62612821381752,0.00705815954090309,0.0181975714227103,0.0240901930215564,0.0318372023826211,0.049400879283754,0.0227607575500322,0.0230445160687048
"all",1990,2.07462409674193,1.77814444695244,2.37110374653142,31810,0.0434256038759445,1.63634493011529,0.0126980764676072,0.0318706972862701,0.0454305198013192,0.0621691025575113,0.096772829278892,0.0431775689493915,0.0436750636470705
"all",1990,2.76645071037962,2.37110374653142,3.16179767422781,25514,0.0807180924723482,1.80839790877188,0.0185368316250196,0.0600309860477534,0.0884692366136015,0.121776374470148,0.199174949393798,0.0801162980477513,0.0813244072821637
"all",1990,3.6889813171354,3.16179767422781,4.21616496004298,20064,0.143870272293295,1.96065980491529,0.0322198096923485,0.0927240501487245,0.160706408560928,0.237785065244073,0.412010407475188,0.14251180169208,0.145241692294857
"all",1990,4.91914896842916,4.21616496004298,5.62213297681534,13535,0.279301404548286,2.05218514724301,0.0499142976579927,0.178029088280749,0.311088006041185,0.477577503361986,0.842517004422595,0.275895170512253,0.282749692348025
"all",1990,6.55954164397562,5.62213297681534,7.4969503111359,8749,0.489730004158883,2.28948117066198,0.0740931958583153,0.297028971948968,0.56720049186807,0.914646550271211,1.68413104854226,0.481172751827421,0.498439440019412
"all",1990,8.74695742194416,7.4969503111359,9.99696453275241,7123,0.835702762260867,2.40709674649511,0.115645846529975,0.488701959499521,0.97038829111164,1.62162582370231,3.25647008639981,0.818664579165138,0.853095546851019
"all",1990,11.6638125487886,9.99696453275241,13.3306605648247,5023,1.44627032714521,2.61227113319994,0.178749342209637,0.793208883179346,1.68463138990629,2.95020531192936,6.55379954457794,1.40835594627032,1.48520540188725
"all",1990,15.5533537675595,13.3306605648247,17.7760469702942,3075,2.90704512382617,2.76077302015528,0.282038539417328,1.57375585264197,3.49184753758192,6.16057139602012,13.6008807054026,2.80455286659866,3.01328295594253
"all",1990,20.7399435139226,17.7760469702942,23.703840057551,2180,5.62175829932875,2.79342308496754,0.488894293756167,3.0279144843697,6.67217756557749,12.0387581612293,26.6013856607197,5.38448689701589,5.86948524168327
"all",1990,27.6561096332728,23.703840057551,31.6083792089945,1603,9.8102722563018,2.79934047787759,0.915479191466262,5.30224210820893,11.2772577819667,21.3162842701011,50.053653044707,9.32816543332989,10.3172957673853
"all",1990,36.8786153893889,31.6083792089945,42.1488515697832,1119,19.0647645516468,2.86910727209621,1.43999568208148,10.8317064415642,24.026726345673,41.0963710539626,85.2519570656853,17.9230316701527,20.2792280959369
"all",1990,49.176557768712,42.1488515697832,56.2042639676407,735,39.0573185878866,2.72694295229702,3.1064222092041,22.6753230098069,46.0603984572953,80.0813961905206,168.874780559479,36.3249899287233,41.995170219426
"all",1990,65.5755051659368,56.2042639676407,74.9467463642328,413,74.2603831484231,2.68303485339239,6.87753936830867,41.1247165035985,85.4220526090988,150.00412864335,313.476754230402,67.5179043430876,81.6761799555939
"all",1990,87.4430231166713,74.9467463642328,99.9392998691097,192,108.152921162175,3.75170788485791,3.70116214233917,54.9023239190529,133.456159800513,277.485837994066,524.139614070921,89.7045730904525,130.395295946808
"all",1990,116.602720366912,99.9392998691097,133.266140864714,50,147.484681637986,4.0225649863762,7.63322513525648,78.0679438529674,164.364557244128,484.013195624434,893.900518348229,100.274450792274,216.921969115728
"all",1990,155.486325979643,133.266140864714,177.706511094572,14,246.601929623207,6.00596581956686,4.69388291363249,326.165106321721,450.00425370494,569.074603546473,1377.899927503,96.4178234630816,630.718569551348
"all",1990,207.336479719973,177.706511094572,236.966448345373,6,367.165662873184,3.59021450215926,59.535259952147,312.922451361779,606.390025739098,824.684361530579,956.946232423171,132.032666296708,1021.03992727189
"all",1990,276.47714711774,236.966448345373,315.987845890107,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"all",1995,1.16673541359231,1,1.33347082718462,21024,0.00722665368313635,1.53718549414898,0.00399641680686801,0.00520576165491116,0.00630258883060654,0.0102086316556249,0.0177739023882635,0.00715828451287705,0.00729567585111229
"all",1995,1.55580763706853,1.33347082718462,1.77814444695244,18600,0.0146334628588265,1.7522550274035,0.00628344400943139,0.00878403877883475,0.0146681335148893,0.0223878063381961,0.0432347250145003,0.0145042078165218,0.0147638697645197
"all",1995,2.07462409674193,1.77814444695244,2.37110374653142,20439,0.0285104806021502,1.93592151730721,0.00954430667213688,0.0160165051014047,0.0290441099774099,0.0477558678200602,0.0953235433315529,0.028244972875513,0.0287784841482457
