variable,fg,bin_midpoint,lived,died,mortality
dbh,all,1.168119492592429,29568,7626,0.2050330698499758
dbh,all,1.59390272602074,32927,5949,0.1530250025722811
dbh,all,2.174885288814169,29490,4276,0.12663626132796305
dbh,all,2.9676378252450175,22966,3048,0.1171676789421081
dbh,all,4.049351157562346,17929,2326,0.11483584300172797
dbh,all,5.525352405796927,11849,1227,0.09383603548485775
dbh,all,7.539360756903146,9095,640,0.0657421674370827
dbh,all,10.287481494048311,6642,432,0.061068702290076333
dbh,all,14.03730089364472,3805,296,0.07217751767861497
dbh,all,19.15394127247929,2590,192,0.06901509705248023
dbh,all,26.135613181568583,1937,115,0.05604288499025341
dbh,all,35.662126486627,1312,84,0.06017191977077364
dbh,all,48.66108389012568,884,65,0.0684931506849315
dbh,all,66.3982022005836,488,35,0.06692160611854685
dbh,all,90.60055598893476,210,9,0.0410958904109589
dbh,all,123.62474394573245,63,4,0.05970149253731343
dbh,all,168.68635240510488,26,2,0.07142857142857142
dbh,all,230.1730590457701,7,0,0
dbh,all,314.07186387702205,4,0,0
dbh,all,428.55204726445334,5,0,0
dbh,fg1,1.168119492592429,634,909,0.5891121192482177
dbh,fg1,1.59390272602074,795,776,0.4939528962444303
dbh,fg1,2.174885288814169,856,646,0.43009320905459386
dbh,fg1,2.9676378252450175,757,548,0.4199233716475096
dbh,fg1,4.049351157562346,827,468,0.3613899613899614
dbh,fg1,5.525352405796927,754,260,0.2564102564102564
dbh,fg1,7.539360756903146,780,137,0.14940021810250817
dbh,fg1,10.287481494048311,677,108,0.1375796178343949
dbh,fg1,14.03730089364472,525,90,0.14634146341463414
dbh,fg1,19.15394127247929,425,55,0.11458333333333333
dbh,fg1,26.135613181568583,369,49,0.11722488038277512
dbh,fg1,35.662126486627,242,32,0.11678832116788321
dbh,fg1,48.66108389012568,146,25,0.14619883040935672
dbh,fg1,66.3982022005836,56,12,0.17647058823529413
dbh,fg1,90.60055598893476,16,0,0
dbh,fg1,123.62474394573245,3,1,0.25
dbh,fg1,168.68635240510488,1,0,0
dbh,fg1,230.1730590457701,1,0,0
dbh,fg2,1.168119492592429,1134,355,0.2384150436534587
dbh,fg2,1.59390272602074,1403,262,0.15735735735735737
dbh,fg2,2.174885288814169,1539,193,0.11143187066974596
dbh,fg2,2.9676378252450175,1337,110,0.07601935038009675
dbh,fg2,4.049351157562346,1303,88,0.06326383896477354
dbh,fg2,5.525352405796927,1042,53,0.048401826484018265
