bin,bin_midpoint,bin_min,bin_max,richness_fg1,richness_fg2,richness_fg3,richness_fg4,richness_fg5,richness_unclassified,n_individuals_fg1,n_individuals_fg2,n_individuals_fg3,n_individuals_fg4,n_individuals_fg5,n_individuals_unclassified,richness_ratio_fastslow,richness_ratio_pioneerbreeder,lowest_n_fastslow,lowest_rich_fastslow,lowest_n_pioneerbreeder,lowest_rich_pioneerbreeder
1,1.1667354135923118,1,1.3334708271846236,36,36,58,34,39,2,972,861,14419,3023,1577,172,0.6206896551724138,1.0588235294117647,972,36,861,34
2,1.555807637068534,1.3334708271846236,1.7781444469524443,38,33,59,30,41,1,762,854,13010,2323,1481,170,0.6440677966101694,1.1,762,38,854,30
3,2.0746240967419327,1.7781444469524443,2.371103746531421,38,38,59,30,39,3,892,1059,14374,2136,1781,197,0.6440677966101694,1.2666666666666666,892,38,1059,30
4,2.766450710379617,2.371103746531421,3.161797674227814,41,42,59,27,42,7,822,1058,12895,1377,1667,223,0.6949152542372882,1.5555555555555556,822,41,1058,27
5,3.6889813171353985,3.161797674227814,4.216164960042983,43,42,60,23,39,8,909,1061,10631,740,1490,293,0.7166666666666667,1.826086956521739,909,43,740,23
6,4.9191489684291625,4.216164960042983,5.622132976815341,42,42,58,15,44,6,804,915,7379,401,1287,275,0.7241379310344828,2.8,804,42,401,15
7,6.5595416439756224,5.622132976815341,7.496950311135904,45,49,62,12,41,4,652,812,4883,173,1002,369,0.7258064516129032,4.083333333333333,652,45,173,12
8,8.74695742194416,7.496950311135904,9.996964532752415,42,48,54,10,43,3,701,730,3483,128,865,462,0.7777777777777778,4.8,701,42,128,10
9,11.66381254878856,9.996964532752415,13.330660564824704,38,46,45,8,37,4,640,753,2315,90,703,526,0.8444444444444444,5.75,640,38,90,8
10,15.553353767559475,13.330660564824704,17.776046970294246,38,46,37,7,38,4,482,661,1211,52,417,84,1.027027027027027,6.571428571428571,482,37,52,7
11,20.73994351392262,17.776046970294246,23.703840057550995,35,41,32,6,25,3,424,602,831,14,271,15,1.09375,6.833333333333333,424,32,14,6
12,27.656109633272763,23.703840057550995,31.60837920899453,32,44,24,1,28,0,335,504,651,1,118,0,1.3333333333333333,44,335,24,1,1
13,36.87861538938886,31.60837920899453,42.14885156978319,28,45,22,0,13,2,270,361,454,0,51,9,1.2727272727272727,NA,270,22,0,0
14,49.17655776871196,42.14885156978319,56.20426396764072,21,34,13,0,10,4,146,356,229,0,56,7,1.6153846153846154,NA,146,13,0,0
15,65.57550516593678,56.20426396764072,74.94674636423284,14,33,11,0,7,2,66,289,77,0,37,3,1.2727272727272727,NA,66,11,0,0
16,87.44302311667127,74.94674636423284,99.93929986910972,7,25,7,0,5,1,15,168,18,0,10,1,1,NA,15,7,0,0
17,116.60272036691177,99.93929986910972,133.26614086471383,3,15,3,0,2,0,5,60,3,0,4,0,1,NA,3,3,0,0
18,155.48632597964314,133.26614086471383,177.70651109457248,1,5,1,0,0,2,1,19,1,0,0,2,1,NA,1,1,0,0
19,207.33647971997289,177.70651109457248,236.96644834537327,0,4,0,0,0,1,0,10,0,0,0,1,NA,NA,0,0,0,0
20,276.47714711774023,236.96644834537327,315.98784589010717,0,2,0,0,0,0,0,3,0,0,0,0,NA,NA,0,0,0,0
