bin,bin_midpoint,bin_min,bin_max,richness_fg1,richness_fg2,richness_fg3,richness_fg4,richness_fg5,richness_unclassified,n_individuals_fg1,n_individuals_fg2,n_individuals_fg3,n_individuals_fg4,n_individuals_fg5,n_individuals_unclassified,richness_ratio_fastslow,richness_ratio_pioneerbreeder,lowest_n_fastslow,lowest_rich_fastslow,lowest_n_pioneerbreeder,lowest_rich_pioneerbreeder
1,1.2264253600718122,1.044489395695229,1.4083613244483955,0,2,6,1,2,1,0,2,10,1,2,1,0,2,0,0,1,1
2,1.653678870811467,1.4083613244483955,1.8989964171745384,1,4,18,5,10,2,1,10,105,13,13,2,0.05555555555555555,0.8,1,1,10,4
3,2.2297759788725857,1.8989964171745384,2.5605555405706326,9,8,31,9,17,4,19,42,449,66,58,11,0.2903225806451613,0.8888888888888888,19,9,42,8
4,3.0065697782771243,2.5605555405706326,3.452584015983616,11,14,49,14,23,3,36,121,1365,199,156,26,0.22448979591836735,1,36,11,121,14
5,4.053977582187368,3.452584015983616,4.655371148391121,21,18,54,23,32,4,111,236,3262,511,335,66,0.3888888888888889,0.782608695652174,111,21,236,18
6,5.4662740095443425,4.655371148391121,6.277176870697563,29,21,55,24,37,6,255,359,5358,903,604,100,0.5272727272727272,0.875,255,29,359,21
7,7.370576413325357,6.277176870697563,8.4639759559531509,30,32,58,27,38,5,453,545,7249,1207,894,131,0.5172413793103449,1.1851851851851851,453,30,545,27
8,9.938286403099017,8.4639759559531509,11.412596850244881,42,37,58,31,36,3,677,680,8725,1408,1159,147,0.7241379310344828,1.1935483870967742,677,42,680,31
9,13.400517285385726,11.412596850244881,15.388437720526571,38,38,59,26,41,4,868,795,9027,1296,1258,186,0.6440677966101694,1.4615384615384615,868,38,795,26
10,18.068896008060896,15.388437720526571,20.74935429559522,39,42,59,30,40,4,853,835,8629,1178,1257,171,0.6610169491525424,1.4,853,39,835,30
11,24.363611941023755,20.74935429559522,27.977869586452293,40,42,58,25,42,5,788,912,7849,816,1184,166,0.6896551724137931,1.68,788,40,816,25
12,32.851237095392264,27.977869586452293,37.724604604332235,44,44,58,21,40,2,701,822,6225,589,1038,142,0.7586206896551724,2.0952380952380953,701,44,589,21
13,44.295721886806945,37.724604604332235,50.866839169281654,37,44,57,18,42,1,631,704,5024,378,882,145,0.6491228070175439,2.4444444444444446,631,37,378,18
14,59.72715644698064,50.866839169281654,68.58747372467963,40,44,58,19,37,1,512,686,3673,216,693,71,0.6896551724137931,2.3157894736842106,512,40,216,19
15,80.5344865212502,68.58747372467963,92.48149931782078,41,44,56,14,38,1,531,642,2696,137,600,60,0.7321428571428571,3.142857142857143,531,41,137,14
16,108.59052908368125,92.48149931782078,124.69955884954173,35,41,50,10,36,1,415,527,1820,69,419,37,0.7,4.1,415,35,69,10
17,146.42054001998702,124.69955884954173,168.14152119043231,37,43,46,9,32,2,334,479,1207,39,289,25,0.8043478260869565,4.777777777777778,334,37,39,9
18,197.4295062438039,168.14152119043231,226.71749129717548,34,41,34,8,29,1,338,462,806,23,204,12,1,5.125,338,34,23,8
19,266.2086202547232,226.71749129717548,305.69974921227094,38,42,27,5,22,2,278,495,493,6,124,6,1.4074074074074074,8.4,278,27,6,5
20,358.9485221647182,305.69974921227094,412.1972951171655,30,40,20,1,19,4,129,395,206,1,59,5,1.5,40,129,20,1,1
