ratio_name,bin,bin_midpoint,bin_min,bin_max,richness_ratio,lowest_n,lowest_rich
fast:tall,1,1.2264253600718122,1.044489395695229,1.4083613244483955,0,0,0
fast:tall,2,1.653678870811467,1.4083613244483955,1.8989964171745384,0.25,1,1
fast:tall,3,2.2297759788725857,1.8989964171745384,2.5605555405706326,1.125,19,8
fast:tall,4,3.0065697782771243,2.5605555405706326,3.452584015983616,0.7857142857142857,36,11
fast:tall,5,4.053977582187368,3.452584015983616,4.655371148391121,1.1666666666666667,111,18
fast:tall,6,5.4662740095443425,4.655371148391121,6.277176870697563,1.380952380952381,255,21
fast:tall,7,7.370576413325357,6.277176870697563,8.4639759559531509,0.9375,453,30
fast:tall,8,9.938286403099017,8.4639759559531509,11.412596850244881,1.135135135135135,677,37
fast:tall,9,13.400517285385726,11.412596850244881,15.388437720526571,1,795,38
fast:tall,10,18.068896008060896,15.388437720526571,20.74935429559522,0.9285714285714286,835,39
fast:tall,11,24.363611941023755,20.74935429559522,27.977869586452293,0.9523809523809523,788,40
fast:tall,12,32.851237095392264,27.977869586452293,37.724604604332235,1,701,44
fast:tall,13,44.295721886806945,37.724604604332235,50.866839169281654,0.8409090909090909,631,37
fast:tall,14,59.72715644698064,50.866839169281654,68.58747372467963,0.9090909090909091,512,40
fast:tall,15,80.5344865212502,68.58747372467963,92.48149931782078,0.9318181818181818,531,41
fast:tall,16,108.59052908368125,92.48149931782078,124.69955884954173,0.8536585365853658,415,35
fast:tall,17,146.42054001998702,124.69955884954173,168.14152119043231,0.8604651162790697,334,37
fast:tall,18,197.4295062438039,168.14152119043231,226.71749129717548,0.8292682926829268,338,34
fast:tall,19,266.2086202547232,226.71749129717548,305.69974921227094,0.9047619047619048,278,38
fast:tall,20,358.9485221647182,305.69974921227094,412.1972951171655,0.75,129,30
fast:slow,1,1.2264253600718122,1.044489395695229,1.4083613244483955,0,0,0
fast:slow,2,1.653678870811467,1.4083613244483955,1.8989964171745384,0.05555555555555555,1,1
fast:slow,3,2.2297759788725857,1.8989964171745384,2.5605555405706326,0.2903225806451613,19,9
fast:slow,4,3.0065697782771243,2.5605555405706326,3.452584015983616,0.22448979591836735,36,11
fast:slow,5,4.053977582187368,3.452584015983616,4.655371148391121,0.3888888888888889,111,21
fast:slow,6,5.4662740095443425,4.655371148391121,6.277176870697563,0.5272727272727272,255,29
fast:slow,7,7.370576413325357,6.277176870697563,8.4639759559531509,0.5172413793103449,453,30
fast:slow,8,9.938286403099017,8.4639759559531509,11.412596850244881,0.7241379310344828,677,42
fast:slow,9,13.400517285385726,11.412596850244881,15.388437720526571,0.6440677966101694,868,38
fast:slow,10,18.068896008060896,15.388437720526571,20.74935429559522,0.6610169491525424,853,39
fast:slow,11,24.363611941023755,20.74935429559522,27.977869586452293,0.6896551724137931,788,40
fast:slow,12,32.851237095392264,27.977869586452293,37.724604604332235,0.7586206896551724,701,44
fast:slow,13,44.295721886806945,37.724604604332235,50.866839169281654,0.6491228070175439,631,37
fast:slow,14,59.72715644698064,50.866839169281654,68.58747372467963,0.6896551724137931,512,40
fast:slow,15,80.5344865212502,68.58747372467963,92.48149931782078,0.7321428571428571,531,41
fast:slow,16,108.59052908368125,92.48149931782078,124.69955884954173,0.7,415,35
fast:slow,17,146.42054001998702,124.69955884954173,168.14152119043231,0.8043478260869565,334,37
