"fg","bin_midpoint","bin_value","bin_count","bin_min","bin_max","year"
"fg1",1.16673541359231,117.316222243302,935,1,1.33347082718462,1995
"fg1",1.55580763706853,104.203783919039,719,1.33347082718462,1.77814444695244,1995
"fg1",2.07462409674193,139.136441283513,826,1.77814444695244,2.37110374653142,1995
"fg1",2.76645071037962,142.865835658546,723,2.37110374653142,3.16179767422781,1995
"fg1",3.6889813171354,179.231015620515,766,3.16179767422781,4.21616496004298,1995
"fg1",4.91914896842916,185.155915056001,690,4.21616496004298,5.62213297681534,1995
"fg1",6.55954164397562,171.327659206639,570,5.62213297681534,7.4969503111359,1995
"fg1",8.74695742194416,220.290273260793,644,7.4969503111359,9.99696453275241,1995
"fg1",11.6638125487886,233.015139950826,601,9.99696453275241,13.3306605648247,1995
"fg1",15.5533537675595,218.242383403791,455,13.3306605648247,17.7760469702942,1995
"fg1",20.7399435139226,222.032911267983,384,17.7760469702942,23.703840057551,1995
"fg1",27.6561096332728,191.001852267755,268,23.703840057551,31.6083792089945,1995
"fg1",36.8786153893889,186.206117792064,202,31.6083792089945,42.1488515697832,1995
"fg1",49.176557768712,101.623440102693,96,42.1488515697832,56.2042639676407,1995
"fg1",65.5755051659368,50.6121525237437,44,56.2042639676407,74.9467463642328,1995
"fg1",87.4430231166713,7.962764196298,6,74.9467463642328,99.9392998691097,1995
"fg1",116.602720366912,1.44304677544025,1,99.9392998691097,133.266140864714,1995
"fg1",155.486325979643,0,0,133.266140864714,177.706511094572,1995
"fg1",207.336479719973,0,0,177.706511094572,236.966448345373,1995
"fg1",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg2",1.16673541359231,143.13773596045,780,1,1.33347082718462,1995
"fg2",1.55580763706853,159.973341051248,759,1.33347082718462,1.77814444695244,1995
"fg2",2.07462409674193,231.456805471711,939,1.77814444695244,2.37110374653142,1995
"fg2",2.76645071037962,269.626515217404,955,2.37110374653142,3.16179767422781,1995
"fg2",3.6889813171354,317.454016438857,950,3.16179767422781,4.21616496004298,1995
"fg2",4.91914896842916,307.59537203661,810,4.21616496004298,5.62213297681534,1995
"fg2",6.55954164397562,314.592906352377,732,5.62213297681534,7.4969503111359,1995
"fg2",8.74695742194416,330.570215539843,679,7.4969503111359,9.99696453275241,1995
"fg2",11.6638125487886,379.728269703299,704,9.99696453275241,13.3306605648247,1995
"fg2",15.5533537675595,383.240623299851,617,13.3306605648247,17.7760469702942,1995
"fg2",20.7399435139226,389.837738323011,563,17.7760469702942,23.703840057551,1995
"fg2",27.6561096332728,349.58595311607,448,23.703840057551,31.6083792089945,1995
"fg2",36.8786153893889,218.557549620887,249,31.6083792089945,42.1488515697832,1995
"fg2",49.176557768712,219.563833418743,228,42.1488515697832,56.2042639676407,1995
"fg2",65.5755051659368,201.669025665805,185,56.2042639676407,74.9467463642328,1995
"fg2",87.4430231166713,137.652945828823,106,74.9467463642328,99.9392998691097,1995
"fg2",116.602720366912,50.8412658561376,36,99.9392998691097,133.266140864714,1995
"fg2",155.486325979643,6.83198760349653,4,133.266140864714,177.706511094572,1995
"fg2",207.336479719973,12.5990853816748,5,177.706511094572,236.966448345373,1995
"fg2",276.47714711774,0,0,236.966448345373,315.987845890107,1995
"fg3",1.16673541359231,2182.19603115655,13181,1,1.33347082718462,1995
"fg3",1.55580763706853,2151.31603444405,11130,1.33347082718462,1.77814444695244,1995
"fg3",2.07462409674193,2590.35737634961,11705,1.77814444695244,2.37110374653142,1995
"fg3",2.76645071037962,2686.36885306582,10378,2.37110374653142,3.16179767422781,1995
"fg3",3.6889813171354,2647.71400626211,8814,3.16179767422781,4.21616496004298,1995
"fg3",4.91914896842916,2164.02850647479,6290,4.21616496004298,5.62213297681534,1995
"fg3",6.55954164397562,1666.39076720888,4316,5.62213297681534,7.4969503111359,1995
"fg3",8.74695742194416,1408.45417200958,3160,7.4969503111359,9.99696453275241,1995
"fg3",11.6638125487886,1122.83572057224,2148,9.99696453275241,13.3306605648247,1995
"fg3",15.5533537675595,714.796918121379,1148,13.3306605648247,17.7760469702942,1995
"fg3",20.7399435139226,582.035946609805,787,17.7760469702942,23.703840057551,1995
"fg3",27.6561096332728,508.520724791696,600,23.703840057551,31.6083792089945,1995
"fg3",36.8786153893889,312.806232146768,331,31.6083792089945,42.1488515697832,1995
"fg3",49.176557768712,156.578797174719,139,42.1488515697832,56.2042639676407,1995
"fg3",65.5755051659368,51.0707199130258,37,56.2042639676407,74.9467463642328,1995
"fg3",87.4430231166713,19.3265881379194,12,74.9467463642328,99.9392998691097,1995
