"fg","dbh_bin","q025","q25","q50","q75","q975","mean","sd","ci_min","ci_max"
"all",1.15546278812523,2.30438441062137,6.53367086814397,11.7229700031941,21.6001133281907,70.7568031095952,12.0125289791263,2.4005863662121,11.9227406111981,12.1029935297609
"all",1.51472572135904,12.337618591324,28.6313850091545,45.2677497083127,71.1672048226724,165.132906840152,45.3245418524366,1.94504425048289,44.6791391546956,45.9792675731841
"all",1.985692689134,16.8913899866774,39.0997356386855,60.8881519404414,95.1445313145435,216.874744944924,61.0453574147437,1.9215802617757,60.1830979067621,61.9199707477187
"all",2.60309533275933,24.7100938842877,55.0948607372669,85.3215471157503,131.795701972896,294.90561776531,85.2816759814565,1.88787155950169,84.1243724454385,86.4549006047354
"all",3.41246424913243,35.9568456501731,79.8185245613911,125.363391630634,195.699227669591,456.112255422384,125.675008668595,1.92203501415874,123.836492660044,127.540819871326
"all",4.47348666222804,53.2809056090407,134.329899356221,211.747886289506,331.132386878251,788.798894680692,210.388943907737,1.96647090877311,207.05044261101,213.78127552121
"all",5.86440808053007,103.523673844834,274.691075134887,443.485698817797,686.564024073003,1534.85087898799,428.128018390557,1.99744831063577,420.242695996445,436.161298880911
"all",7.68780254233678,177.444416750082,435.283193627795,667.270595081904,1038.62972319363,2290.56657700721,666.778840436824,1.9226471625135,654.252453509515,679.545058897986
"all",10.0781369779126,292.439327071359,653.814037077613,1005.71067405149,1562.30361308641,3501.50745080389,1003.67756383712,1.88940868439067,983.282917313223,1024.4952235137
"all",13.2116875253013,504.953837786335,1094.59805260552,1765.70647833785,2639.24557774943,5467.35999907135,1704.84694613218,1.8660189524976,1663.93810596985,1746.76155279353
"all",17.3195390823467,1033.9922375582,2503.07873323616,3841.32928258536,5916.05053453067,11231.5109557158,3770.61593314271,1.85869319822619,3670.05455416675,3873.93274553044
"all",22.7046267519177,2293.71990727844,4785.1989378686,7093.12844089883,10229.7203387276,17044.9023123358,6805.5847975084,1.7062203801009,6624.28018242127,6991.85166699096
"all",29.7640759083095,3351.53956321435,7303.48823063989,10665.1535310066,15169.993764133,23956.6028898658,10166.042966121,1.68635147839002,9857.7282060036,10484.0007179419
"all",39.0184883616633,6104.70655577892,12786.0839383049,18074.1948120739,23995.2675965129,41237.474365492,17393.3130251877,1.61792450614028,16773.3072003609,18036.2366454276
"all",51.1503343399355,14119.6663376732,25527.9516634842,34685.0055571323,42706.2261877136,66078.6099246494,32867.4662592836,1.50423509480431,31576.7801388657,34210.9085712483
"all",67.054281519984,23237.3011447425,38270.1094300945,49176.364253431,59348.348866684,80463.2568851044,46831.4948165578,1.39760963129101,44931.6188794673,48811.7045734917
"all",87.9031726416461,39209.8051117148,52931.2045582881,64564.4937476372,79097.523223285,134220.122802439,66126.9589892071,1.37051841728823,62344.5016674964,70138.8989919546
"all",115.234517249494,62063.3938477459,107528.652225842,122195.187123434,151119.531930344,268991.433062622,125974.813981134,1.45668949805514,112273.669088622,141347.957062441
"all",151.063875929237,103437.111509587,193916.829919431,200452.606166015,215550.597084653,252338.301042848,182172.138777416,1.47526431187104,129557.851998953,256153.429797571
"all",198.033498603164,180256.142501493,291859.192817993,341459.019326413,461394.221735178,535945.049539003,336546.829065139,1.53596184710631,238733.211749839,474436.578486972
"fgfg1",1.15546278812523,2.88864644407659,7.42928430274596,12.4795812735992,21.1998489738933,60.0749828721222,12.7412373948291,2.16803345404994,12.3590489057815,13.135244596002
"fgfg1",1.51472572135904,9.02025066861807,21.5883369717591,37.5815343980727,53.8892067024088,117.441369004937,34.6726175826833,1.95978787185678,32.4273317885935,37.0733681658593
"fgfg1",1.985692689134,12.0020237280511,30.5651384942271,47.8104574748223,78.869438270678,163.611319936592,48.4582352320818,1.99645239689169,45.3577907269241,51.77061149087
"fgfg1",2.60309533275933,19.555505252387,46.5090679247801,77.3438876099602,117.991329066105,248.569449633843,73.7294686973452,1.93261733497237,69.6040773323702,78.0993695015151
"fgfg1",3.41246424913243,31.9995325033173,64.658022307047,103.466623621641,160.215953623957,375.154600985566,102.702520858478,1.95072485161117,96.8882260320461,108.865733460714
"fgfg1",4.47348666222804,41.7347767561007,110.935185261292,171.726009984438,265.147417652586,649.079174074721,168.972467303488,2.00644630740241,159.12812969272,179.425817181175
"fgfg1",5.86440808053007,89.1547254430164,190.217008477273,323.770401359185,538.218191112377,1249.37471162952,321.166284313683,2.04227650493029,301.129339084669,342.53647450425
