"year","variable","model","fg","parameter","mean","se_mean","sd","q025","q25","q50","q75","q975","n_eff","Rhat"
1995,"diameter growth individual",1,"fg1","beta0",0.0453417080333333,3.8685949584789e-05,0.00136268517682155,0.04275722,0.0443971,0.04532745,0.0462518,0.0481097225,1240.75073296971,1.00021994219376
1995,"diameter growth individual",1,"fg1","beta1",0.725234999666667,0.000398650116921035,0.0136748514809488,0.6977328,0.71603875,0.7251895,0.73434225,0.7518291,1176.68832632324,1.00094009946743
1995,"diameter growth individual",1,"fg1","sigma",1.04941556666667,0.000231930937007849,0.00945224381385681,1.0311285,1.04301,1.04932,1.0557,1.0685905,1660.93434554905,1.00122971453806
1995,"diameter growth individual",2,"fg1","beta0",0.1139978809,0.00076378698829759,0.0134337821765491,0.083511805,0.106928,0.115311,0.122547,0.1384367,309.351405196888,1.00853105813876
1995,"diameter growth individual",2,"fg1","beta1_low",1.80058368333333,0.0424035635263249,0.539529369370508,1.303069,1.4871375,1.623985,1.9092375,3.348958,161.892030463059,1.02257394115299
1995,"diameter growth individual",2,"fg1","beta1_high",0.598919937666667,0.0015538901619128,0.0296819880641936,0.524296775,0.5840555,0.602134,0.6187215,0.647630975,364.876033470523,1.01146861862267
1995,"diameter growth individual",2,"fg1","x0",2.67952453933333,0.0367976479422357,0.528616644755628,1.42021925,2.41115,2.78729,3.02754,3.50516975,206.367616204373,1.01513019596286
1995,"diameter growth individual",2,"fg1","delta",0.1673743717449,0.00907760356227642,0.135359827301183,0.004951698,0.05339045,0.1381445,0.24942525,0.485689175,222.350012723327,1.0179129079801
1995,"diameter growth individual",2,"fg1","sigma",1.04030234,0.000236275208107506,0.00918923042350802,1.0225585,1.03389,1.040225,1.04656,1.05885125,1512.59261195125,1.00191173718299
1995,"diameter growth individual",1,"fg2","beta0",0.0358430036666667,2.0518406853647e-05,0.00067459880374083,0.034572655,0.03537485,0.03582865,0.036284025,0.0372169025,1080.94565288558,1.00599803555393
1995,"diameter growth individual",1,"fg2","beta1",0.617011475,0.000233308683920646,0.0082642373735167,0.60043875,0.611472,0.6172095,0.62263925,0.63288145,1254.71115220787,1.00583856332057
1995,"diameter growth individual",1,"fg2","sigma",0.955687933,0.000166916465604495,0.00680135316316744,0.94235245,0.9510475,0.9557405,0.96019,0.968932875,1660.32188516644,0.999923018889723
1995,"diameter growth individual",2,"fg2","beta0",0.0710130746,0.000816595963946418,0.0205062011164125,0.0397857875,0.05546305,0.06725055,0.083781325,0.11601015,630.602904486298,1.00664613582622
1995,"diameter growth individual",2,"fg2","beta1_low",1.68207476033333,0.0408608322323751,1.23070846020104,0.820894525,1.0628325,1.363915,1.8805825,4.79137875,907.185199853722,1.00279673225613
1995,"diameter growth individual",2,"fg2","beta1_high",0.535126017666667,0.000802024137587404,0.0246165930291773,0.479731725,0.52079075,0.5373505,0.552032,0.577555275,942.065313904096,1.00520778107776
1995,"diameter growth individual",2,"fg2","x0",2.37340692766667,0.0429507229960084,1.19007648870799,0.814379375,1.50198,2.08929,2.9759075,5.27257325,767.730497680523,1.0055242613308
1995,"diameter growth individual",2,"fg2","delta",0.349705390236667,0.00402502156881,0.147400836148743,0.0629893875,0.2567645,0.34423,0.43906525,0.6609296,1341.10712653012,1.0034111360171
1995,"diameter growth individual",2,"fg2","sigma",0.951571735666667,0.000197402203713932,0.0071950420010537,0.937704175,0.9467075,0.951821,0.956388,0.96525735,1328.50341053814,0.999753955167835
1995,"diameter growth individual",1,"fg3","beta0",0.0297420645333333,4.41166774287856e-06,0.000155880041649267,0.0294416475,0.029634675,0.0297397,0.029847325,0.0300531025,1248.46230046582,1.00014843841976
1995,"diameter growth individual",1,"fg3","beta1",0.612778838666667,0.0001081066060058,0.00384737090096446,0.605067,0.610054,0.6127615,0.6154285,0.620331625,1266.55381095131,1.00023982024377
1995,"diameter growth individual",1,"fg3","sigma",0.766914103666667,4.86406681613146e-05,0.0019844505942385,0.763165325,0.7655695,0.7668725,0.76818025,0.770843075,1664.49125523799,1.00106889544907
1995,"diameter growth individual",2,"fg3","beta0",0.0382075679666667,9.43272273164084e-05,0.00193624160410498,0.03360694,0.037173175,0.038484,0.039568425,0.0411841625,421.351900852539,1.00147910435636
1995,"diameter growth individual",2,"fg3","beta1_low",3.58645079,0.0925953576504581,1.75784604851374,2.11998225,2.681645,3.15021,3.8749325,7.66734225000001,360.39872603395,1.00062403814035
1995,"diameter growth individual",2,"fg3","beta1_high",0.548703631666667,0.000153729642995904,0.00546942158771522,0.537983425,0.54506025,0.5487045,0.5522725,0.559574025,1265.80720587655,1.00249019429589
1995,"diameter growth individual",2,"fg3","x0",1.28782823466667,0.00595369089458006,0.121343391320646,1.0105655,1.21881,1.30256,1.3737525,1.48153425,415.393494600642,1.0023758828041
1995,"diameter growth individual",2,"fg3","delta",0.1247229549,0.00102454791877098,0.022288589819441,0.0805673375,0.110022,0.125035,0.1400325,0.168416575,473.260908297659,1.00547979403499
1995,"diameter growth individual",2,"fg3","sigma",0.762760902333333,5.19621343632278e-05,0.00194995398893945,0.758991,0.76147075,0.762732,0.76409,0.766523275,1408.23380232607,1.00235886010279
1995,"diameter growth individual",1,"fg4","beta0",0.0271888006666667,1.10979135843058e-05,0.000381494962537781,0.0264220875,0.026938125,0.02718385,0.02744545,0.02793171,1181.66653871223,1.00268108882617
1995,"diameter growth individual",1,"fg4","beta1",0.663571667,0.000436354488600289,0.0147645699120453,0.634118875,0.65375175,0.6636825,0.6733375,0.69235895,1144.88721532237,1.0015007528314
