"year","variable","model","fg","parameter","mean","se_mean","sd","q025","q25","q50","q75","q975","n_eff","Rhat"
1995,"captured light individual",1,"fg1","beta0",3.15854629333333,0.00120281930254946,0.0426583021006071,3.074943,3.130035,3.158015,3.18654,3.24289675,1257.78483214179,1.00164207305883
1995,"captured light individual",1,"fg1","beta1",2.30403669666667,0.000200515705995197,0.00719064026058236,2.28987925,2.29943,2.303985,2.3086925,2.3181905,1285.99219475502,1.00160079184428
1995,"captured light individual",1,"fg1","sigma",0.671182317,0.00012971760291064,0.0054206431660787,0.660992725,0.66741625,0.6712575,0.67484625,0.681799175,1746.23950547928,1.00104426101045
1995,"captured light individual",2,"fg1","beta0",6.511288139,0.167818753673767,4.82230944833916,1.544731,3.22723,5.174415,8.342675,19.6787025,825.71308809851,1.00081485390515
1995,"captured light individual",2,"fg1","beta1_low",1.13217570363333,0.0132949450924376,0.374355195183922,0.359616175,0.87175425,1.172955,1.41802,1.7567545,792.856576552624,0.999949907780398
1995,"captured light individual",2,"fg1","beta1_high",2.46822149333333,0.000690126260099359,0.0254420199190724,2.42545875,2.4507575,2.465835,2.483545,2.524946,1359.08328223052,1.00026392452117
1995,"captured light individual",2,"fg1","x0",1.506413876,0.0144408777736366,0.409887198757232,0.901599875,1.19997,1.448955,1.74883,2.459232,805.640936629044,1.00022273790355
1995,"captured light individual",2,"fg1","delta",0.482218295666667,0.00337807535869984,0.103032460835319,0.281596575,0.413821,0.4802275,0.54734275,0.6920414,930.270990204734,1.00146706701129
1995,"captured light individual",2,"fg1","sigma",0.661877008,0.000131584272690574,0.00519377855135188,0.651773025,0.65840475,0.661876,0.6653955,0.67222505,1557.9692743803,1.00006064339393
1995,"captured light individual",1,"fg2","beta0",3.84082062,0.00117225009836747,0.0430940700643043,3.7549495,3.81166,3.841275,3.870165,3.92652425,1351.43284933578,1.00162501929872
1995,"captured light individual",1,"fg2","beta1",2.29556062666667,0.000146137426094548,0.00535710461573322,2.285189,2.29185,2.2954,2.29919,2.3065,1343.80838703366,1.00111401184623
1995,"captured light individual",1,"fg2","sigma",0.600326115333333,0.000114239839565741,0.00450784846202899,0.59147785,0.5972325,0.60036,0.6033605,0.608981,1557.05318524078,0.999483078468198
1995,"captured light individual",2,"fg2","beta0",6507.92735333333,35.7489535430273,1029.04430864642,4857.96875,5797.4375,6401.58,7063.6375,8899.66475,828.593425593038,1.00189831262316
1995,"captured light individual",2,"fg2","beta1_low",2.36460622,0.000174945698877699,0.00739942998928445,2.3503695,2.35943,2.364505,2.36946,2.3791205,1788.91617783374,1.00236591241517
1995,"captured light individual",2,"fg2","beta1_high",1.84609520333333,0.00138974020868538,0.0433177912476099,1.755449,1.82068,1.849365,1.8762525,1.92248625,971.550461173308,1.00063301130081
1995,"captured light individual",2,"fg2","x0",23.9783993333333,0.0554920211016683,1.62730772277232,21.1965,22.857275,23.86095,24.920675,27.5772875,859.960068213874,1.00203738076821
1995,"captured light individual",2,"fg2","delta",0.0388105564397267,0.000860026393773574,0.0331179756531063,0.0012471315,0.0130902,0.03085055,0.0554545,0.1210268,1482.87316374103,0.999131077565584
1995,"captured light individual",2,"fg2","sigma",0.591544000333333,0.00010714903003516,0.00421059013275913,0.5831854,0.58875175,0.5914835,0.59439575,0.599652525,1544.22098115929,1.00154396315347
1995,"captured light individual",1,"fg3","beta0",3.32145720333333,0.000376587855532027,0.012843003680078,3.2949375,3.3128375,3.32154,3.3301025,3.3452035,1163.05591152691,1.00128468528379
1995,"captured light individual",1,"fg3","beta1",2.39021068666667,8.21329510221273e-05,0.00304797944897862,2.3842795,2.3882675,2.39012,2.39227,2.39624025,1377.17526673798,1.00087228340535
1995,"captured light individual",1,"fg3","sigma",0.646601112333333,3.76447397999673e-05,0.001633306093372,0.6435036,0.6454595,0.6466075,0.64778025,0.64981815,1882.46350466636,1.00073417240122
1995,"captured light individual",2,"fg3","beta0",401.394092333333,0.953462997173569,29.8040139342227,347.583975,380.96275,399.529,419.81925,463.752025,977.106335162931,1.00188746271991
1995,"captured light individual",2,"fg3","beta1_low",2.43513271,9.83944998393247e-05,0.00426651254918395,2.4269195,2.43232,2.43517,2.4380225,2.443341,1880.20156498822,0.999283015090261
1995,"captured light individual",2,"fg3","beta1_high",2.22716868666667,0.000343665078805469,0.012019986876171,2.203279,2.2191275,2.2272,2.23515,2.25082,1223.31183975156,1.00224038195542
1995,"captured light individual",2,"fg3","x0",7.25445584666667,0.00710173635788301,0.224245190731794,6.83635525,7.100855,7.24366,7.3987625,7.70901975,997.050565372848,1.00167511714852
1995,"captured light individual",2,"fg3","delta",0.0149553539925,0.000264623076159089,0.0121022745204227,0.0006364606,0.0055730675,0.0121918,0.020757475,0.0457038975,2091.59970840207,0.99990369288462
1995,"captured light individual",2,"fg3","sigma",0.645632796,3.90619822802339e-05,0.00170580732008486,0.642340125,0.6444395,0.645658,0.64681825,0.6489345,1907.00306105862,0.999740036951695
1995,"captured light individual",1,"fg4","beta0",3.51291681333333,0.00121598841483256,0.0442539837476545,3.42920975,3.481835,3.51242,3.5431,3.600836,1324.48141744418,1.00068291672878
1995,"captured light individual",1,"fg4","beta1",2.34671112333333,0.000397175879686727,0.0148565326604949,2.31684975,2.336885,2.346685,2.35674,2.375233,1399.16583469961,1.00146477264357
1995,"captured light individual",1,"fg4","sigma",0.739142266666667,0.00012365743067553,0.00562060613937799,0.728258825,0.735198,0.739137,0.74300325,0.75016465,2065.97884273174,1.00136410484229
1995,"captured light individual",2,"fg4","beta0",33.5536052,0.125802334952852,3.89479865026872,27.1163075,30.8359,33.14245,35.910225,42.8387375,958.501104934736,1.00248803600184
1995,"captured light individual",2,"fg4","beta1_low",2.51901113666667,0.000718629246022557,0.0296953393447679,2.46171475,2.4985125,2.518395,2.538975,2.576371,1707.52397303318,1.00005660114312
1995,"captured light individual",2,"fg4","beta1_high",2.16491593666667,0.000792339803214333,0.0319323056778652,2.10075325,2.1429875,2.16518,2.186935,2.22752125,1624.19290650859,1.0007570049864
1995,"captured light individual",2,"fg4","x0",2.51520259666667,0.00393799686118735,0.120503905068133,2.3084865,2.4315875,2.50547,2.589015,2.793391,936.378666508858,1.00232557799996
1995,"captured light individual",2,"fg4","delta",0.02148779064184,0.000365663432495173,0.0178680860417383,0.0007481342,0.0080687075,0.0169735,0.030667525,0.06532494,2387.77283384667,1.0007820471268
1995,"captured light individual",2,"fg4","sigma",0.737032926666667,0.000118119065100616,0.00543739664110499,0.726599975,0.733412,0.7370475,0.74069525,0.7478552,2119.05401625506,1.00011261845404
1995,"captured light individual",1,"fg5","beta0",2.93830093666667,0.000911944142418789,0.0341717206178733,2.87075875,2.9151725,2.93857,2.9610225,3.0069745,1404.09734362878,0.999806997617378
1995,"captured light individual",1,"fg5","beta1",2.43347148666667,0.000205724252808687,0.00770343553852355,2.4189885,2.4281575,2.433345,2.4386225,2.448461,1402.16111273567,1.00037340445039
1995,"captured light individual",1,"fg5","sigma",0.668378819,0.000111376189227123,0.00456099662197137,0.659244925,0.66541075,0.6683185,0.67145925,0.67756925,1677.00668033581,1.00104098039747
1995,"captured light individual",2,"fg5","beta0",299.056489776667,13.0473876751071,113.800138522318,34.155835,281.867,329.568,366.3205,447.31715,76.0743846266204,1.01684796667975
1995,"captured light individual",2,"fg5","beta1_low",2.51273410666667,0.00370890108133156,0.0403739216836726,2.47853675,2.49428,2.50301,2.515425,2.60181925,118.498095749725,1.01297953034771
1995,"captured light individual",2,"fg5","beta1_high",2.28013235,0.00408405152391427,0.0407189590721588,2.219562,2.2539525,2.272775,2.29592,2.38131175,99.405613427347,1.01366562659985
1995,"captured light individual",2,"fg5","x0",6.27594057633333,0.170037044187016,1.40305523200005,2.65410625,6.3290925,6.7458,7.0506,7.63898075,68.0867244535941,1.01825309754364
1995,"captured light individual",2,"fg5","delta",0.0586798406878333,0.00747826651370407,0.116732033772078,0.001022195,0.01096635,0.02580285,0.0549161,0.393438250000001,243.656626453244,1.00486007825548
1995,"captured light individual",2,"fg5","sigma",0.666927331666667,0.000134783147230137,0.00440136491011836,0.658478525,0.66384025,0.666855,0.6699555,0.67581205,1066.35931569753,1.00173808907125
1995,"captured light individual",1,"alltree","beta0",3.37473670666667,0.000286470382411467,0.0106383070871191,3.353729,3.3676975,3.37458,3.38203,3.395275,1379.06770903927,1.00093896108891
1995,"captured light individual",1,"alltree","beta1",2.35637666333333,5.62794868475864e-05,0.00225558768216169,2.35199,2.35487,2.35638,2.35791,2.36072,1606.2723020863,0.999957620391886
1995,"captured light individual",1,"alltree","sigma",0.659929212333333,3.22644971030581e-05,0.00138000519758551,0.657171975,0.65900175,0.6599125,0.66086825,0.66252705,1829.41250613987,1.0000519675667
1995,"captured light individual",2,"alltree","beta0",5737.57835333333,17.2462101953355,522.246154239449,4834.9845,5370.77,5688.95,6050.2125,6845.752,916.986941887852,1.00346045728907
1995,"captured light individual",2,"alltree","beta1_low",2.37917515666667,5.04917080969367e-05,0.00258027646794019,2.37419975,2.37739,2.37916,2.3809525,2.38415025,2611.51399586733,1.00252546616915
1995,"captured light individual",2,"alltree","beta1_high",1.93676915666667,0.000924757142059809,0.0293888826088334,1.8754985,1.9179075,1.937155,1.9561025,1.99341175,1009.97531675541,1.0018735781289
1995,"captured light individual",2,"alltree","x0",22.9596112,0.0290064556252814,0.882213142672598,21.372195,22.346375,22.8986,23.50635,24.7564025,925.034046978533,1.0036766370958
1995,"captured light individual",2,"alltree","delta",0.0213449839140333,0.000425655874878165,0.0169516605949407,0.000976607075,0.008177425,0.017855,0.0305769,0.06201639,1586.01479030247,1.00108969338301
1995,"captured light individual",2,"alltree","sigma",0.658686746,3.21373039216133e-05,0.00141052606784845,0.655980925,0.65774875,0.658692,0.65964475,0.661429375,1926.38617873105,1.00127419033518
1995,"captured light individual",1,"unclassified","beta0",3.44692879666667,0.00415069557876229,0.147615344946723,3.16467325,3.345365,3.44342,3.5423575,3.7530075,1264.79822252871,1.00079522920919
