sp,genus,species,family,grform,repsize,sppnumber,abun,X1,X2,WSG_AVG,MAXHEIGHT_AVG,SEED__DRY_MIX,LogAvAbun,X1new,X2new,fg1,fis,sil,fg5,fg13,fg20,fgall,splower,PC_slow_to_fast,PC_breeder_to_pioneer
ACACME,Acacia,melanoceras,Fabaceae:Mimos.,U,4,1,66,-0.0682877313964172,0.42233288426311,NA,10.608,NA,2.79028829933918,0.0682877313964172,-0.42233288426311,1,2,2,5,1,10,1,acacme,-0.0682877313964172,-0.42233288426311
ACALDI,Acalypha,diversifolia,Euphorbiaceae,S,2,2,2500,1.9501073359784,1.3148192183366,0.50129168,6.26,NA,6.81203072762349,-1.9501073359784,-1.3148192183366,1,1,1,1,6,2,2,acaldi,1.9501073359784,-1.3148192183366
ACALMA,Acalypha,macrostachya,Euphorbiaceae,U,2,3,323,2.90256587424742,1.52486965485517,0.404127546,7.08,NA,3.98898404656427,-2.90256587424742,-1.52486965485517,1,1,1,1,6,2,3,acalma,2.90256587424742,-1.52486965485517
ADE1TR,Adelia,triloba,Euphorbiaceae,U,10,4,1464,0.949572493022773,0.287507220179037,0.647727905,13.1675,0.026,5.43745799793707,-0.949572493022773,-0.287507220179037,1,2,2,5,2,11,4,ade1tr,0.949572493022773,-0.287507220179037
AEGIPA,Aegiphila,panamensis,Verbenaceae,M,4,5,534,0.931298792083594,1.31040281513612,0.4558328,11.94291632,NA,4.41193211745279,-0.931298792083594,-1.31040281513612,1,2,1,4,7,2,5,aegipa,0.931298792083594,-1.31040281513612
ALCHCO,Alchornea,costaricensis,Euphorbiaceae,T,20,6,1648,2.41989147042582,-0.950593612489889,0.393048399,19.1890563,0.019603333,5.6378461516518,-2.41989147042582,0.950593612489889,1,1,2,1,13,9,6,alchco,2.41989147042582,0.950593612489889
ALCHLA,Alchornea,latifolia,Euphorbiaceae,M,16,7,11,0.782767295108769,-1.13423911872611,0.451820767,5.97,NA,0.538996500732684,-0.782767295108769,1.13423911872611,1,2,3,2,5,17,7,alchla,0.782767295108769,1.13423911872611
ALIBED,Alibertia,edulis,Rubiaceae,U,4,8,1566,-1.68988635607775,2.15487453569833,0.788040125,10.106,0.012025,5.8975462553208,1.68988635607775,-2.15487453569833,1,3,1,4,8,18,8,alibed,-1.68988635607775,-2.15487453569833
ALLOPS,Allophylus,psilospermus,Sapindaceae,M,4,9,837,1.0826302388356699,-0.45284039128479,0.534386981,16.30640377,0.031092,4.90844435319971,-1.0826302388356699,0.45284039128479,1,2,2,5,2,6,9,allops,1.0826302388356699,0.45284039128479
ALSEBL,Alseis,blackiana,Rubiaceae,T,20,10,4000,-2.29601102393715,-0.801994576740638,0.577973969,28.60437889,4.9e-5,8.98342184726441,2.29601102393715,0.801994576740638,1,3,2,3,10,15,10,alsebl,-2.29601102393715,0.801994576740638
AMAICO,Amaioua,corymbosa,Rubiaceae,U,10,11,161,-1.42580254466821,-0.47256515334794,0.67762665,9.808,0.00838,3.2470467018349,1.42580254466821,0.47256515334794,1,3,2,3,10,20,11,amaico,-1.42580254466821,0.47256515334794
ANACEX,Anacardium,excelsum,Anacardiaceae,T,60,12,152,1.20025350080222,-3.89078041217438,0.420666804,35.11484354,1.579045,3.23587340123677,-1.20025350080222,3.89078041217438,1,2,3,2,12,4,12,anacex,1.20025350080222,3.89078041217438
ANAXPA,Anaxagorea,panamensis,Annonaceae,S,1,13,2024,-1.75333928363565,1.51339061446019,NA,4.99,NA,6.50000184035596,1.75333928363565,-1.51339061446019,1,3,1,3,9,18,13,anaxpa,-1.75333928363565,-1.51339061446019
ANDIIN,Andira,inermis,Fabaceae:Papil.,T,20,14,1718,-2.5110509969749,-0.585220624323459,0.683158317,20.80649677,0.469266667,5.67626444576231,2.5110509969749,0.585220624323459,1,3,2,3,10,15,14,andiin,-2.5110509969749,0.585220624323459
ANNOAC,Annona,acuminata,Annonaceae,S,1,15,1889,-1.88244148593961,1.69263980238487,0.645087275,8.372,0.027533333,6.24942351810756,1.88244148593961,-1.69263980238487,1,3,1,3,9,18,15,annoac,-1.88244148593961,-1.69263980238487
ANNOSP,Annona,spraguei,Annonaceae,M,8,16,702,3.49257829118327,1.01089179282956,0.425789773,16.5081092,0.026683472,4.80050197951806,-3.49257829118327,-1.01089179282956,1,1,2,1,6,5,16,annosp,3.49257829118327,-1.01089179282956
APEIME,Apeiba,membranacea,Tiliaceae,T,30,17,1910,2.06473090027869,-1.97231884649513,0.321387556,28.37550231,0.004113,5.758451018855,-2.06473090027869,1.97231884649513,1,1,3,2,13,8,17,apeime,2.06473090027869,1.97231884649513
APEITI,Apeiba,tibourbou,Tiliaceae,M,8,18,213,2.26882132422587,-0.557676688161387,0.342506375,17.7249041,0.001636667,3.62624388312245,-2.26882132422587,0.557676688161387,1,1,2,1,13,12,18,apeiti,2.26882132422587,0.557676688161387
APHESI,Aphelandra,sinclairiana,Acanthaceae,S,2,19,51,1.0281271545351,1.44761524005736,0.566005737,4.5675,NA,2.13162729485041,-1.0281271545351,-1.44761524005736,1,2,1,4,7,2,19,aphesi,1.0281271545351,-1.44761524005736
APPUSE,Appunia,seibertii,Rubiaceae,S,2,20,13,-0.809578349775884,1.42268236756609,NA,3.36,NA,0.762140052046895,0.809578349775884,-1.42268236756609,1,2,1,4,8,14,20,appuse,-0.809578349775884,-1.42268236756609
ARDIBA,Ardisia,bartlettii,Myrsinaceae,S,-9,21,21,-0.149340552099103,2.66949304971877,NA,3.07,0.0252625,1.38629436111989,0.149340552099103,-2.66949304971877,1,2,1,4,8,1,21,ardiba,-0.149340552099103,-2.66949304971877
ARDIFE,Ardisia,fendleri,Myrsinaceae,U,4,22,526,-2.42244999987695,-0.0466575386396016,NA,6.373333333,0.02033,4.5155580272984,2.42244999987695,0.0466575386396016,1,3,2,3,10,15,22,ardife,-2.42244999987695,0.0466575386396016
ARDIGU,Ardisia,guianensis,Myrsinaceae,S,2,23,113,-1.27971323254553,1.80023902672617,0.6192,2.726,NA,2.91390225530636,1.27971323254553,-1.80023902672617,1,3,1,4,8,18,23,ardigu,-1.27971323254553,-1.80023902672617
ASPICR,Aspidosperma,spruceanum,Apocynaceae,T,30,24,2096,-1.7214735274147,-1.40862964075825,0.770147174,38.62834017,0.45395,6.1584911588663,1.7214735274147,1.40862964075825,1,3,3,3,10,16,24,aspicr,-1.7214735274147,1.40862964075825
AST2GR,Astronium,graveolens,Anacardiaceae,T,30,25,463,-0.487441059791871,-1.93507877521686,0.80817686,34.84070022,0.01766,4.41711795448515,0.487441059791871,1.93507877521686,1,2,3,2,11,16,25,ast2gr,-0.487441059791871,1.93507877521686
BANAGU,Banara,guianensis,Flacourtiaceae,U,-9,26,10,2.26610157740276,1.21140447286353,0.48080701,NA,NA,0.356674943938733,-2.26610157740276,-1.21140447286353,1,1,1,1,6,2,26,banagu,2.26610157740276,-1.21140447286353
BEILPE,Beilschmiedia,pendula,Lauraceae,T,30,27,3725,-0.72562830070852,-1.02270760263383,0.527503989,34.17951447,3.876056,7.7839380470697,0.72562830070852,1.02270760263383,1,2,3,2,5,13,27,beilpe,-0.72562830070852,1.02270760263383
BOROPA,Borojoa,panamensis,Rubiaceae,U,5,28,6,-0.55470507700983,-0.64761305150183,NA,NA,NA,0,0.55470507700983,0.64761305150183,1,2,2,5,5,13,28,boropa,-0.55470507700983,0.64761305150183
BROSAL,Brosimum,alicastrum,Moraceae,T,30,29,2932,-1.52957003352457,-2.22650558917324,0.671531363,37.40324049,0.701005,6.79442659367513,1.52957003352457,2.22650558917324,1,3,3,2,11,16,29,brosal,-1.52957003352457,2.22650558917324
BROSGU,Brosimum,guianense,Moraceae,T,30,30,34,-1.25043064529298,-0.396409357560621,0.747710678,7.316666667,NA,1.69167601067107,1.25043064529298,0.396409357560621,1,3,2,3,4,20,30,brosgu,-1.25043064529298,0.396409357560621
CALOLO,Calophyllum,longifolium,Clusiaceae,T,30,31,2804,0.408859034607218,0.0634696981649748,0.54056402,36.39180792,1.95011,6.99511183448604,-0.408859034607218,-0.0634696981649748,1,2,2,5,1,11,31,calolo,0.408859034607218,-0.0634696981649748
CAPPFR,Capparis,frondosa,Capparaceae,S,1,32,3000,-4.2069148287407,0.6767109336379,0.632941284,7.23,0.073804722,8.0615769934993,4.2069148287407,-0.6767109336379,1,3,2,3,9,3,32,cappfr,-4.2069148287407,-0.6767109336379
CASEAC,Casearia,aculeata,Flacourtiaceae,U,5,33,1929,-1.59269328499318,0.40611244415511,0.689971211,13.05461177,0.002075,6.12029741895095,1.59269328499318,-0.40611244415511,1,3,2,3,9,20,33,caseac,-1.59269328499318,-0.40611244415511
CASEAR,Casearia,arborea,Flacourtiaceae,T,20,34,1110,2.86807331391055,-1.02947981352371,0.562365523,22.53036269,0.00115,5.17856811343811,-2.86807331391055,1.02947981352371,1,1,3,1,13,9,34,casear,2.86807331391055,1.02947981352371
CASECO,Casearia,commersoniana,Flacourtiaceae,U,10,35,131,-1.68777596669842,-0.620808147848989,0.617290009,10.54627905,0.017298125,3.09104245335832,1.68777596669842,0.620808147848989,1,3,2,3,10,20,35,caseco,-1.68777596669842,0.620808147848989
CASEGU,Casearia,guianensis,Flacourtiaceae,U,4,36,100,-1.65374031288874,0.226092881587796,0.692559465,8.5925,0.002908333,2.78147766965702,1.65374031288874,-0.226092881587796,1,3,2,3,9,20,36,casegu,-1.65374031288874,-0.226092881587796
CASESY,Casearia,sylvestris,Flacourtiaceae,M,10,37,1156,0.470253614839725,0.583209614018302,0.661614721,16.35844448,0.001,5.21260384827401,-0.470253614839725,-0.583209614018302,1,2,2,5,3,11,37,casesy,0.470253614839725,-0.583209614018302
CASSEL,Cassipourea,elliptica,Rhizophoraceae,M,8,38,2956,-1.47465187274103,-0.623625911006356,0.659964232,23.98650673,0.003656667,6.87035005967927,1.47465187274103,0.623625911006356,1,3,2,3,10,20,38,cassel,-1.47465187274103,0.623625911006356
CAVAPL,Cavanillesia,platanifolia,Bombacaceae,T,50,39,140,0.775525259918646,-3.58759101796994,0.197714953,41.11773674,0.449668,3.22457384598284,-0.775525259918646,3.58759101796994,1,2,3,2,12,4,39,cavapl,0.775525259918646,3.58759101796994
CECRIN,Cecropia,insignis,Cecropiaceae,T,30,40,3131,3.81676058014886,-0.376517125508067,0.550778659,30.61660039,5e-4,6.46079830918565,-3.81676058014886,0.376517125508067,1,1,2,1,13,9,40,cecrin,3.81676058014886,0.376517125508067
CECRLO,Cecropia,longipes,Cecropiaceae,M,30,41,27,2.14749008319145,0.859365610890679,0.26426833,21.13478504,7e-4,1.74296930505862,-2.14749008319145,-0.859365610890679,1,1,2,1,6,2,41,cecrlo,2.14749008319145,-0.859365610890679
CECROB,Cecropia,obtusifolia,Cecropiaceae,M,8,42,533,4.48003743348318,0.132195833595574,0.304733394,22.66532216,5e-4,4.7361984483945,-4.48003743348318,-0.132195833595574,1,1,2,1,6,5,42,cecrob,4.48003743348318,-0.132195833595574
CEDROD,Cedrela,odorata,Meliaceae,T,30,43,40,2.24475512351472,0.373644421340837,0.477733938,10.17565418,0.011,2.00533356952611,-2.24475512351472,-0.373644421340837,1,1,2,1,6,12,43,cedrod,2.24475512351472,-0.373644421340837
