tag,sp,eqn,n,k,nll,sd,DBH,b1,b2,b3,AICc,AICcdiff,fit.prob,diam.2010,hom.2010,spb
1025,tet2pa,1,21,3,34.80048612,1.269495083,60.81885512,0.02207092,NA,NA,77.01273694,3.775237268,,56.5,3.299999952,tet2pa
1025,tet2pa,4,21,3,52.25010667,2.912426721,62.23826724,1.250237461,NA,NA,111.9119781,38.67447838,,56.5,3.299999952,tet2pa
1025,tet2pa,5,21,3,34.12150147,1.228343103,60.52205419,0.460071946,NA,NA,75.65476764,2.417267961,,56.5,3.299999952,tet2pa
1025,tet2pa,9,21,4,31.36874984,1.080801135,58.12945325,4.020178304,0.068258981,NA,73.23749968,0,,56.5,3.299999952,tet2pa
1025,tet2pa,11,21,5,33.61443547,1.210147396,52.72338035,1.141153114,6.503126389,0.068715112,81.22887094,7.991371267,,56.5,3.299999952,tet2pa
1036,quaras,1,21,3,35.92864776,1.337707139,72.73493044,0.071195411,NA,NA,79.26906023,0,,45.8,5.199999809,quaras
1036,quaras,4,21,3,55.74702105,3.439150498,46.18167554,2.126598773,NA,NA,118.9058068,39.63674657,,45.8,5.199999809,quaras
1036,quaras,5,21,3,38.04859309,1.481139008,71.64511775,1.785938825,NA,NA,83.50895088,4.239890645,,45.8,5.199999809,quaras
1036,quaras,9,21,4,42.90716811,1.714038593,70.30186232,1.434248747,0.355680581,NA,96.31433622,17.04527599,,45.8,5.199999809,quaras
1036,quaras,11,21,5,36.95035216,1.404962005,55.77497009,1.297917903,15.42365347,-0.052802445,87.90070432,8.631644088,,45.8,5.199999809,quaras
1046,huracr,1,24,3,46.80270574,1.70113695,69.21343149,0.037741234,NA,NA,100.8054115,55.10802297,,68.7,3.200000048,huracr
1046,huracr,4,24,3,50.91184599,2.018524711,77.13608215,0.904835196,NA,NA,109.023692,63.32630346,,68.7,3.200000048,huracr
1046,huracr,5,24,3,49.16120918,1.877388668,68.72848268,0.861104018,NA,NA,105.5224184,59.82502984,,68.7,3.200000048,huracr
1046,huracr,9,24,4,37.9800044,1.180440234,282.6312695,0.003292076,3.330054331,NA,86.06527197,40.36788345,,68.7,3.200000048,huracr
1046,huracr,11,24,5,16.18202759,0.474844419,146.4802446,0.375449479,0.433491926,20.78319049,45.69738851,0,,68.7,3.200000048,huracr
1050,brosal,1,20,3,28.45015874,1.003434724,42.17001258,0.042824902,NA,NA,64.40031747,4.309701685,,39.6,3,brosal
1050,brosal,4,20,3,29.9693577,1.082882406,43.5552288,0.985935728,NA,NA,67.4387154,7.348099613,,39.6,3,brosal
1050,brosal,5,20,3,29.84905903,1.0762148,41.67094052,1.048576443,NA,NA,67.19811807,7.107502282,,39.6,3,brosal
1050,brosal,9,20,4,24.71197456,0.832754984,194.7599536,0.007218328,2.569204271,NA,60.09061579,0,,39.6,3,brosal
1050,brosal,11,20,5,29.77662697,1.07262148,45.56791267,0.916740056,11.59138297,-0.004867956,73.83896823,13.74835245,,39.6,3,brosal
1091,cavapl,1,19,3,52.13501497,3.398127148,198.8193283,0.025291881,NA,NA,111.8700299,16.75050314,,188.3,3.5,cavapl
