sp,Genus,Species,Family,wsg,idlevel
acac1,Acacia,sp.1,Fabaceae-mimosoideae,0.774668367,genus
acacme,Acacia,melanoceras,Fabaceae-mimosoideae,0.774668367,genus
acacri,Acacia,riparia,Fabaceae-mimosoideae,0.774668367,genus
acaldi,Acalypha,diversifolia,Euphorbiaceae,0.50129168,species
acalma,Acalypha,macrostachya,Euphorbiaceae,0.404127546,species
ade1tr,Adelia,triloba,Euphorbiaceae,0.647727905,species
aegian,Aegiphila,anomala,Lamiaceae,0.323257783,species
aegipa,Aegiphila,panamensis,Lamiaceae,0.4558328,species
albiad,Albizia,adinocephala,Fabaceae-mimosoideae,0.543719626,genus
albigu,Pseudosamanea,guachapele,Fabaceae-mimosoideae,0.602196965,species
albipr,Albizia,procera,Fabaceae-mimosoideae,0.573,species
alch3,Alchornea,sp.3,Euphorbiaceae,0.414741038,genus
alch4,Alchornea,sp.4,Euphorbiaceae,0.414741038,genus
alchco,Alchornea,costaricensis,Euphorbiaceae,0.393048399,species
alchla,Alchornea,latifolia,Euphorbiaceae,0.451820767,species
alibed,Alibertia,edulis,Rubiaceae,0.788040125,species
allo2,Allophylus,sp.2,Sapindaceae,0.514813356,genus
allops,Allophylus,psilospermus,Sapindaceae,0.534386981,species
alsebl,Alseis,blackiana,Rubiaceae,0.577973969,species
amai1,Amaioua,sp.1,Rubiaceae,0.642542217,genus
amai2,Amaioua,sp.2,Rubiaceae,0.642542217,genus
amaico,Amaioua,corymbosa,Rubiaceae,0.67762665,species
amaima,Amaioua,magnicarpa,Rubiaceae,0.642542217,genus
amaipe,Amaioua,pedicellata,Rubiaceae,0.642542217,genus
amp1is,Amphitecna,isthmica,Bignoniaceae,0.46,genus
amp1la,Amphitecna,latifolia,Bignoniaceae,0.46,genus
amp1sp,Amphitecna,spathicalyx,Bignoniaceae,0.46,genus
ampeed,Ampelocera,edentula,Ulmaceae,0.6995,species
ampema,Ampelocera,macphersonii,Ulmaceae,0.705,genus
anacex,Anacardium,excelsum,Anacardiaceae,0.420666804,species
anaxpa,Anaxagorea,panamensis,Annonaceae,0.53,species
andiin,Andira,inermis,Fabaceae-papilionoideae,0.683158317,species
anib1,Aniba,sp.1,Lauraceae,0.665902439,genus
anib2,Aniba,sp.2,Lauraceae,0.665902439,genus
anibho,Aniba,hostmanniana,Lauraceae,0.619,species
annoac,Annona,acuminata,Annonaceae,0.645087275,species
annoha,Annona,hayesii,Annonaceae,0.493632181,species
annomo,Annona,montana,Annonaceae,0.514391803,genus
annopi,Annona,pittieri,Annonaceae,0.514391803,genus
annopu,Annona,purpurea,Annonaceae,0.652530745,species
annosp,Annona,spraguei,Annonaceae,0.425789773,species
antitr,Pittoniotis,trichantha,Rubiaceae,0.602854099,species
apeihy,Apeiba,hybrid,Malvaceae,0.282995388,genus
apeime,Apeiba,membranacea,Malvaceae,0.321387556,species
apeiti,Apeiba,tibourbou,Malvaceae,0.342506375,species
aphede,Aphelandra,scabra,Acanthaceae,0.566005737,genus
aphesi,Aphelandra,sinclairiana,Acanthaceae,0.566005737,species
ardi11,Ardisia,sp.11,Myrsinaceae,0.602769231,genus
ardi15,Ardisia,sp.15,Myrsinaceae,0.602769231,genus
ardi5,Ardisia,sp.5,Myrsinaceae,0.602769231,genus
ardi6,Ardisia,sp.6,Myrsinaceae,0.602769231,genus
ardi7,Ardisia,sp.7,Myrsinaceae,0.602769231,genus
ardi9,Ardisia,sp.9,Myrsinaceae,0.602769231,genus
ardiba,Ardisia,bartlettii,Myrsinaceae,0.6,species
ardidu,Ardisia,dukei,Myrsinaceae,0.602769231,genus
